,,,,,,,,,,,,,,,,,
  المؤشر العقاري للأحياء بمدينة الرياض  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,الرياض,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,,,,,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,,,
ديسمبر,9023470,12476.6,20,29658733,18583.57,45,9912880,7964.13,16,,,,,,,,
حي/التعاون,239642225,74291.7867,136,373324659,100289.20700000001,163,277954032,58804.375700000004,227,137512527,29117.535000000003,53,,,,,
يناير,6590803,2394.3279999999995,6,46700633,12786.77,6,15488580,4241.897,12,12805276,3874.7,14,,,,,
فبراير,5765107,1547.04,6,42618841,15064.540000000003,23,37926000,5998,9,54171332,13111.230000000001,20,,,,,
مارس,22938287,5695.589999999999,13,60973690,16468.12,19,12113397,2620.74,5,63038400,10265.695,16,,,,,
ابريل,37913309,7478.4887,11,10501520,2110.17,7,1400000,675,1,7497519,1865.91,3,,,,,
مايو,48476633,20757.91,18,10864998,3333.5619999999994,9,1100000,342.78999999999996,2,,,,,,,,
يونيو,2205000,784.35,3,5272001,1343.53,7,65800554,13819.586,83,,,,,,,,
يوليو,22821086,6552.61,14,32177453,9730.91,15,22086000,4202.12,25,,,,,,,,
اوغسطس,18820546,4646.5,9,17244000,3081.5249999999996,9,15802373,3928.24,17,,,,,,,,
سبتمبر,33059158,10745.54,26,8801578,2995.82,13,23994959,6707.720000000003,27,,,,,,,,
اكتوبر,16824696,4692.43,12,11840706,5231.05,11,24742607,4746.26,11,,,,,,,,
نوفمبر,10865100,4086.75,6,72989839,19314.9,13,18892436,4970.6127,14,,,,,,,,
ديسمبر,13362500,4910.25,12,53339400,8828.310000000001,31,38607126,6551.41,21,,,,,,,,
حي/الجامعة,,,,75000000,1840,1,,,,1211052,938.25,1,,,,,
مارس,,,,,,,,,,1211052,938.25,1,,,,,
يوليو,,,,75000000,1840,1,,,,,,,,,,,
حي/الجبس,100000,413.28,1,160000,737.19,2,280000,778.49,3,,,,,,,,
مارس,,,,70000,565.37,1,,,,,,,,,,,
يونيو,,,,,,,80000,244.9,1,,,,,,,,
يوليو,100000,413.28,1,,,,50000,142.3,1,,,,,,,,
اكتوبر,,,,90000,171.82,1,,,,,,,,,,,
نوفمبر,,,,,,,150000,391.29,1,,,,,,,,
حي/الجرادية,12860152,7606.16,48,45464963,42543.36,40,14468967,7000.329999999999,33,9519500,4544.24,22,,,,,
يناير,610000,371.74,3,450000,330.12,3,2819123,755.21,3,1410000,630.1700000000001,4,,,,,
فبراير,1332250,317,2,1290000,548.6,3,1270000,537.95,3,670000,503.65999999999997,2,,,,,
مارس,1675800,1338.4499999999998,6,465000,1640.24,2,225200,210.75,2,2570000,1451.21,6,,,,,
ابريل,2359852,1063.98,8,355000,288.95,2,,,,4869500,1959.1999999999998,10,,,,,
مايو,3390000,1437.52,10,1555000,827.52,4,,,,,,,,,,,
يونيو,,,,210000,235.76,2,5240000,2357.87,10,,,,,,,,
يوليو,1583750,1060.1200000000001,8,555000,509.28,4,530000,427.57,3,,,,,,,,
اوغسطس,140000,181.88,2,1440000,525.5,4,540000,228.98000000000002,2,,,,,,,,
سبتمبر,200000,260.96,2,34649117,35523.92,4,300000,230.4,1,,,,,,,,
اكتوبر,250000,322.88,3,550000,199.5,1,806144,331.62,2,,,,,,,,
نوفمبر,1108500,762.4300000000001,2,1435000,665.81,4,2498500,1599.62,5,,,,,,,,
ديسمبر,210000,489.2,2,2510846,1248.16,7,240000,320.36,2,,,,,,,,
حي/الجزيرة,558860086,267055.18,150,73710007,50036.27999999999,79,62030877,48909.829999999994,94,17538229,13004.72,25,,,,,
يناير,84895064,86233,23,6804200,6242,6,3804800,3388,7,3070000,1215.72,2,,,,,
فبراير,10994039,9531.55,20,3000000,2868.2,6,7695175,8228,17,,,,,,,,
مارس,11188848,7672.8,17,4690000,3504,7,9140439,6964.8099999999995,14,8418229,4154,7,,,,,
ابريل,12185355,9271.25,19,7122227,5324,11,1000000,484,1,6050000,7635,16,,,,,
مايو,8000000,7744,16,5016666,3107.5,6,,,,,,,,,,,
يونيو,2253000,1749.81,3,3276830,1015.12,2,14381801,8601.81,13,,,,,,,,
يوليو,8338980,6438.8,13,5142161,6211.549999999999,9,7011195,7260,15,,,,,,,,
اوغسطس,6859800,5324,11,920000,484,1,2984467,2233.81,4,,,,,,,,
سبتمبر,4000000,3388,7,9034960,5760.32,10,7068000,7744,16,,,,,,,,
اكتوبر,402120000,122625.97,6,3539000,2904,6,3500000,1585.4,2,,,,,,,,
نوفمبر,3860000,3388,7,14795163,4930.8,7,1460000,968,2,,,,,,,,
ديسمبر,4165000,3688,8,10368800,7684.79,8,3985000,1452,3,,,,,,,,
حي/الجنادرية,449812337,414435.56149999995,655,945270435,660314.1599999999,1313,504334036,1288258.6649999998,371,100879222,82100.006,163,,,,,
يناير,47268291,28932.124999999996,45,134519115,131119.865,198,48246036,24371.495000000017,68,21561716,15235.510000000002,19,,,,,
فبراير,27797776,23373.72,48,88075896,72186.81499999999,149,37370757,17465.83,43,22129411,15311.845,26,,,,,
مارس,35059763,28745.52,48,60938440,44381.025,106,71481029,50850.12,63,32875240,28141.94,66,,,,,
ابريل,26686509,17495.942499999997,43,72343945,54353.24500000002,120,26195384,9661.815,26,24312855,23410.711,52,,,,,
مايو,11149806,11179.73,17,57470537,41802.490000000005,70,20138865,8042.170000000001,19,,,,,,,,
يونيو,5701068,3691.2749999999996,8,57609955,40734.110000000015,92,184055472,1077095.5599999998,42,,,,,,,,
يوليو,23589042,27640.137500000004,31,93806528,66074.78,131,14538439,9613.49,10,,,,,,,,
اوغسطس,13479816,9196.589,20,81599551,48234.97,98,10953990,8396.52,6,,,,,,,,
سبتمبر,17442791,17911.659999999996,29,71388334,34597.575,94,19015060,12813.669999999998,21,,,,,,,,
اكتوبر,53818458,51474.22999999999,87,66798733,37047.31500000001,86,19870770,15830.929999999998,18,,,,,,,,
نوفمبر,70933801,65192.097499999996,87,73258430,38369.020000000004,81,20585038,19742.125,19,,,,,,,,
ديسمبر,116885216,129602.53499999996,192,87460971,51412.95000000001,88,31883196,34374.94,36,,,,,,,,
حي/الحائر,34707154,431453.48,319,62926920,2522825.2667,368,135471505,4375083.485,223,7173287,39876.42999999999,62,,,,,
يناير,122000,662.77,2,11730126,617472.71,46,2931150,9895.11,21,2131500,11289.669999999998,20,,,,,
فبراير,2628000,4160.110000000001,9,3921850,54587.95999999999,38,6360136,212350.7,33,3295200,14715.55,22,,,,,
مارس,1842000,2874.83,6,14340269,1259129.6867000002,38,2807203,30109.41,14,1549187,12122.07,16,,,,,
ابريل,2307105,4416.719999999999,11,3770291,58063.729999999996,23,,,,197400,1749.1399999999999,4,,,,,
مايو,5194486,97719.92,9,2080154,7154.92,11,970000,1717.82,4,,,,,,,,
يونيو,1380000,2347.3999999999996,5,1102190,125676.53,11,7878710,279840.79,23,,,,,,,,
يوليو,3807085,33432.98,46,2657800,65647.4,22,3451251,6067.719999999999,12,,,,,,,,
اوغسطس,2261905,63820.26,20,2872525,54095.5,26,606400,2427.7200000000003,6,,,,,,,,
سبتمبر,4082338,30700.51,44,5239090,83647.64,47,2471013,53535.125,34,,,,,,,,
اكتوبر,2298434,46449.79,55,6873287,93782.68999999999,61,9038696,309422,16,,,,,,,,
نوفمبر,4696745,52806.84,70,3608200,89504.04,23,96470757,3455782.130000001,33,,,,,,,,
ديسمبر,4087056,92061.35,42,4731138,14062.459999999997,22,2486189,13934.96,27,,,,,,,,
حي/الحزم,260266508,206714.2467,311,693261677,636120.3617999998,995,501580692,403107.09310000006,620,214677183,156699.675,268,,,,,
يناير,20060971,21332.026700000002,19,26498247,29430.450000000004,50,114570462,119539.88660000001,129,87221719,67269.39499999999,88,,,,,
فبراير,21632150,18521.670000000002,37,80072704,94611.285,82,52204804,39317.44,60,54775633,37880.380000000005,76,,,,,
مارس,16074571,10072.11,26,65018205,63952.87999999999,82,43606000,29040.35,52,47488337,33917.68,67,,,,,
ابريل,33484132,17638.75,25,62765319,56693.33180000001,85,16629912,5310.78,16,25191494,17632.22,37,,,,,
مايو,35902763,32401.745000000006,36,46168925,47273.61,75,19322551,5887.13,19,,,,,,,,
يونيو,3643116,2045,5,41265476,44977.77,71,45759264,32924,70,,,,,,,,
يوليو,11270431,10497.045,25,61132807,65720.34999999999,97,20130327,18402.92,30,,,,,,,,
اوغسطس,4199374,4020.45,9,48960547,37481.56,70,16581178,12737.130000000001,26,,,,,,,,
سبتمبر,8245697,6777.709999999999,16,62754714,43194.229999999996,83,35967091,32765.88,53,,,,,,,,
اكتوبر,48898871,31921.69,27,77215425,63905.799999999996,124,24553756,22056.74,49,,,,,,,,
نوفمبر,22920643,20362.519999999997,46,59857202,45894.485,95,19801601,14279.399999999998,35,,,,,,,,
ديسمبر,33933789,31123.53,40,61552106,42984.61,81,92453746,70845.43650000001,81,,,,,,,,
حي/الحمراء,212256764,102531.0497,144,749805576,209646.38599999997,167,296723178,105929.98300000001,151,98361713,27107.19,47,,,,,
يناير,19249268,7034.79,11,32684341,10767.345,16,25121409,7292.948,12,25334909,7804.71,12,,,,,
فبراير,17551902,6482.72,9,27474996,8628.4,13,41358441,15121.599999999999,16,27836954,6759.7300000000005,14,,,,,
مارس,18244803,7189.855,12,336924104,96029.37,15,18211750,6047.32,12,31014400,8734.130000000001,12,,,,,
ابريل,14069005,6021.157999999999,12,42871349,14224.649999999998,20,5900000,2284.73,3,14175450,3808.62,9,,,,,
مايو,21975915,17110.14,17,28956858,8002.889999999999,13,4111819,1506.88,4,,,,,,,,
يونيو,13970336,4161.91,8,962598,314.925,2,45497202,17935.599000000002,26,,,,,,,,
يوليو,17049716,6947.1900000000005,12,23491501,8029.48,14,17044086,8495.126,13,,,,,,,,
اوغسطس,6590000,7474.5,8,33378920,8688.21,12,33058749,12342.4,12,,,,,,,,
سبتمبر,16739043,7613.1567,11,13812014,5461.01,8,22724264,6512.5,9,,,,,,,,
اكتوبر,29421870,11536.83,16,23108071,7801.3099999999995,16,22002201,8719.89,11,,,,,,,,
