,,,,,,,,,,,,,,,,,
  المؤشر العقاري للأحياء بمدينة مكة المكرمة في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,مكة المكرمة,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,,,,,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,,,
مايو,,,,,,,1100000,768.96,1,,,,,,,,
يونيو,,,,1300000,594,1,,,,,,,,,,,
يوليو,1000000,643.68,1,2310000,643.68,1,976000,300,1,,,,,,,,
سبتمبر,4200000,2497.12,4,,,,,,,,,,,,,,
اكتوبر,2050000,1177.92,2,,,,,,,,,,,,,,
نوفمبر,,,,1400000,662.54,1,2290000,1599.3200000000002,3,,,,,,,,
ديسمبر,2375000,1221.92,2,,,,1750000,301.82,1,,,,,,,,
حي/البوابه رقم 8,1850000,1775.06,3,1500000,1049.3,1,4780000,1465.5900000000001,3,,,,,,,,
يناير,1000000,655.44,1,,,,,,,,,,,,,,
ابريل,,,,,,,2380000,655.44,1,,,,,,,,
مايو,50000,669.62,1,,,,,,,,,,,,,,
يوليو,800000,450,1,,,,2050000,265.25,1,,,,,,,,
اوغسطس,,,,,,,350000,544.9,1,,,,,,,,
سبتمبر,,,,1500000,1049.3,1,,,,,,,,,,,
حي/التخصصى,22126873,5228.08,10,22402661,13662.500000000002,22,30992400,14148.489999999998,25,4775000,2645.61,4,,,,,
يناير,4400000,1591.23,3,3250000,600,1,2800000,1924,3,1100000,525,1,,,,,
فبراير,8850000,972.19,2,,,,1700000,1625.8,2,,,,,,,,
مارس,1000000,300,1,,,,,,,1875000,1571.5,2,,,,,
ابريل,4000000,791.68,1,1000000,811.83,2,,,,1800000,549.11,1,,,,,
مايو,,,,1228979,1126.12,2,1500000,1008.22,1,,,,,,,,
يونيو,,,,1390000,1842.15,3,3850000,2196.75,4,,,,,,,,
يوليو,,,,2712352,1858.53,3,2000000,330,1,,,,,,,,
اوغسطس,2000000,330,1,300000,570.86,1,1200000,637.5,1,,,,,,,,
سبتمبر,,,,4450000,2112.8,3,2600000,925.8299999999999,2,,,,,,,,
اكتوبر,,,,2600000,1324.75,2,2362700,1245.48,2,,,,,,,,
نوفمبر,676873,579.53,1,2523830,2008.46,3,8229700,2963.41,5,,,,,,,,
ديسمبر,1200000,663.45,1,2947500,1407,2,4750000,1291.5,4,,,,,,,,
حي/التخصصى المعتمد,33323000,9861.25,16,21722254,10888.42,21,30078184,13608.84,23,7350000,3655.48,5,,,,,
يناير,,,,5000000,1260,2,1799000,600,1,,,,,,,,
فبراير,7815000,1986.55,3,4767171,1831.2599999999998,3,1400000,669.6,1,4750000,2021.48,3,,,,,
مارس,3000000,659.48,1,,,,,,,2600000,1634,2,,,,,
ابريل,4100000,1205.19,3,900000,1500,2,,,,,,,,,,,
مايو,1900000,1181.94,2,565000,769.4,1,1000000,663.45,1,,,,,,,,
يونيو,3700000,2563.66,3,50000,521.58,1,3350000,925.8,2,,,,,,,,
يوليو,,,,800000,769.4,1,7533280,2992.95,5,,,,,,,,
اوغسطس,1900000,322.66,1,,,,1925000,444.37,1,,,,,,,,
سبتمبر,5970000,633.54,1,,,,700000,595.63,1,,,,,,,,
اكتوبر,,,,500000,655.19,1,3233997,1538.2,3,,,,,,,,
نوفمبر,3500000,642.6,1,6790083,1653.02,6,3996000,2657.66,4,,,,,,,,
ديسمبر,1438000,665.63,1,2350000,1928.57,4,5140907,2521.1800000000003,4,,,,,,,,
حي/التخصصى رقم 1,,,,,,,2700000,330,1,,,,,,,,
اكتوبر,,,,,,,2700000,330,1,,,,,,,,
