,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,
Table 1: Monetary Base,,,,,,,جدول 1: القاعدة النقدية,
(Million ﷼),,,,,,,(مليون ﷼),
نهاية الفترة,,النقد المتداول,النقد في,ودائع لدى البنك المركزي  Deposits with SAMA,,,القاعدة النقدية,
,,خارج المصارف,الصندوق,ودائع البنوك ,ودائع المؤسسات ,المجموع,Monetary ,
,,Currency,Cash in ,المحلية,المالية العامة,, Base,
End of Period,,Outside Banks,Vault,Deposits of Banks,Public Fin. Ins.,Total,(Reserve Money),
,,1,2,3,4,5 = 3 + 4,6 = 1 + 2 + 5,
2011-07-31T00:00:00,,116963.42988398002,17962.699,61055.06037832,7776.9175474799995,68831.97792579999,203758.10680978,
2011-08-31T00:00:00,,129407.04417028002,19861.392,61660.40485746,5266.21964834,66926.6245058,216195.06067608,
2011-09-30T00:00:00,,120705.09973213999,16208.894,61373.41320589,4321.96391237,65695.37711826,202609.3708504,
2011-10-31T00:00:00,,122947.20328307,24650.112,61857.853132059994,5218.68437071,67076.53750276999,214673.85278584,
2011-11-30T00:00:00,,119627.93761890002,18245.933,63173.2533071,8877.75951593,72051.01282303,209924.88344193003,
2011-12-31T00:00:00,,119901.52640616,19944.527,63511.352629019995,7498.45827967,71009.81090869,210855.86431485,
2012-01-31T00:00:00,,120969.50756768999,18210.847,64457.03086342,3233.8052616,67690.83612502,206871.19069271,
2012-02-29T00:00:00,,122091.69677082999,17998.293,65950.34005704,6363.559371879999,72313.89942891999,212403.88919974997,
2012-03-31T00:00:00,,122692.86451341,18065.818,68010.90789713,6446.189035490001,74457.09693262,215215.77944602998,
2012-04-30T00:00:00,,123204.86582632,17641.583,67949.72641845,8799.955345560002,76749.68176400999,217596.13059033,
2012-05-31T00:00:00,,124875.58801618998,17383.435,68106.06993533,9069.169036400002,77175.23897173,219434.26198791998,
2012-06-30T00:00:00,,125605.75844218,20125.321,68257.63588423001,7977.26689955,76234.90278378001,221965.98222596,
2012-07-31T00:00:00,,127633.29049745001,20701.017,68456.50823045,3503.65616177,71960.16439222,220294.47188967,
2012-08-31T00:00:00,,133667.69820415,21791.526,68223.55715887,7554.16505266,75777.72221153,231236.94641568,
2012-09-30T00:00:00,,130143.21903666,19658.181,69193.33392306,4630.99981137,73824.33373443,223625.73377109,
2012-10-31T00:00:00,,137953.33452285998,27107.761,69853.96912976,4018.98157829,73872.95070804999,238934.04623090997,
2012-11-30T00:00:00,,132376.77602932003,18675.514,71426.30388966,4069.84335533,75496.14724499,226548.43727431004,
2012-12-31T00:00:00,,133120.72828841,19691.189,70790.88478802,12026.59311084,82817.47789886,235629.39518727,
2013-01-31T00:00:00,,134124.11492574,20234.008,74518.62475899,5390.587513979999,79909.21227297,234267.33519871,
2013-02-28T00:00:00,,135592.44892669,19184.952,74911.82155927,4470.25040407,79382.07196334,234159.47289003,
2013-03-31T00:00:00,,135305.73502887,21015.616,75254.04315352,5682.7559946,80936.79914812,237258.15017699002,
2013-04-30T00:00:00,,135487.64677633002,21033.791,77476.64340144,7001.2537672299995,84477.89716867,240999.334945,
2013-05-31T00:00:00,,138735.91858389002,19252.911,78834.39575976,5583.637909860001,84418.03366962,242406.86325351,
2013-06-30T00:00:00,,138842.91246035,22523.824,79614.02677366,4788.66786807,84402.69464173,245769.43110207998,
2013-07-31T00:00:00,,146148.12488792,27206.28,79586.79199904,5529.90964051,85116.70163955,258471.10652747,
