,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,مؤسسات الإقراض المتخصصة الحكومية       Government Specialized Credit Institutions
,,,,,,,,,,,,,
Table 1a: Consolidated Balance Sheet Of Government Specialized Credit Institutions-Assets,,,,,,,,,,,,,جدول 1a: المركز المالي الموحد لمؤسسات الإقراض المتخصصة الحكومية - المــوجـــودات 
(Million ﷼),,,,,,,,,,,,,(مليون ﷼)
نهاية ,,الأصول ,عملة ,ودائع لدى ,ودائع لدى ,أصول نقدية ,القروض ,الإستثمارات ,داخلية ,خارجية ,الأصول ,الأصول ,مجموع 
الفترة ,,النقدية , سعودية ,البنك المركزي,المصارف المحلية ,تحت التحصيل ,,,,,الثابتة ,الأخرى ,الأصول 
End of,,Monetary,Saudi,Dep. with,Deposits with,Monetary Assets,Loans,Investments,Domestic,Foreign,Fixed,Other ,Total
Period,,Assets,Currency,SAMA,Local Banks,under Collection,,,,,Assets,Assets,Assets
Q4,2004,6133,0.1,5655.6,372.1,105.2,88702.3,9924.6,9924.6,0,56.9,2192,107008.8
Q1,2005,7472.24,0.84,6813.400000000001,582,76,88380.9,9923.9,9923.9,0,57,3021.2000000000003,108855.23999999999
Q2,2005,8621.197,0.333,8058.24,457.924,104.7,88243.025,9921.220000000001,9921.220000000001,0,56.3,5315.61,112157.352
Q3,2005,10355.825,0.7,9775,551.775,28.35,88477.514,10081.4,10081.4,0,57.19,6760.549999999999,115732.47899999999
Q4,2005,10827.8,0.1,10368.9,322.8,136,88977.3,10522.6,10522.6,0,61.2,7807.8,118196.70000000001
Q1,2006,10330.761999999999,1.5,9747.3,425.56199999999995,156.39999999999998,89689.1,10441.800000000001,10441.800000000001,0,59.230000000000004,3393.8999999999996,113914.792
Q2,2006,13499.778000000002,1.4000000000000001,12936.150000000001,420.32800000000003,141.89999999999998,90955.79999999999,10207.6,10207.6,0,58.300000000000004,6663.9,121385.378
Q3,2006,13224.03,2.2,12570.470000000001,618.56,32.800000000000004,91875.2,11177.6,11177.6,0,58.9,7820.1,124155.83
Q4,2006,14643.4924,0.1004,14037.735,432.977,172.68,93143.66999999998,12121.56,12121.56,0,60.3,10772.449999999999,130741.47239999998
Q1,2007,13848.059,1.119,13323.810000000001,397.93,125.2,94315.37,12128.609999999999,12128.609999999999,0,59.83,2907.63,123259.499
Q2,2007,14619.952000000001,1.422,14278.14,179.79000000000002,160.60000000000002,95921.8,12035.2,12035.2,0,60.9,5001.21,127639.062
Q3,2007,15185.402000000002,3.0719999999999996,14662.7,487.63,32,97799.35,11966.029999999999,11966.029999999999,0,59.9,5134.85,130145.532
Q4,2007,16021.082999999999,0.1,15492.919999999998,389.573,138.49,98480.54999999999,14425.77,14425.77,0,63.4,9325.686,138316.48899999997
Q1,2008,16237.627,1.04,15653.71,444.04999999999995,138.827,99568.48999999999,13743,13743,0,62.39,1975.05,131586.557
Q2,2008,19350.461,1.5260000000000002,18867.4,338.25,143.285,102979.64,12285.6,12285.6,0,62.42,7145.74,141823.861
Q3,2008,18542.609,0.5730000000000001,17829.55,573.21,139.27599999999998,106025.8,9744.2,9744.2,0,63.7,7990.98,142367.28900000002
Q4,2008,17929.954,0.327,17273.22,544.53,111.87700000000001,111948.96,15993.86,15993.86,0,66.8,7576.950000000001,153516.524
Q1,2009,18238.758,1.82,16487.35,1630.45,119.13799999999999,115024.42,13634.16,13634.16,0,66,1318.8000000000002,148282.138
Q2,2009,15566.5,1.7000000000000002,15041.800000000001,430,93,117640.40000000001,12966.8,12966.8,0,64,1445,147682.7
Q3,2009,16156.703999999998,1.304,15301.3,700.9,153.2,119138.8,12200.099999999999,12200.099999999999,0,65,1683.5,149244.10400000002
Q4,2009,21959.35,0.44999999999999996,21433.7,415.1,110.1,121330.17000000001,11832.9,11832.9,0,69,8899,164090.42
Q1,2010,22528.601,0.8009999999999999,21682.7,733.4,111.7,121866,11541.199999999999,11541.199999999999,0,68.8,1196.4,157201.001
Q2,2010,26714.4,2,25761.02,835.28,116.1,124443.35,11454.9,11454.9,0,68.6,958.5,163639.75
Q3,2010,32140.3,0.9,31245.6,707.8,186,125926.70000000001,11367.199999999999,11367.199999999999,0,68.9,6058.700000000001,175561.80000000002
Q4,2010,25079.6,0.9,23219.4,1714.8999999999999,144.4,126334.1,11204.300000000001,11204.300000000001,0,75.7,6261.3,168955
Q1,2011,58007.700000000004,0.6,48103,9824.2,79.9,134176.9,41712.5,41712.5,0,75.8,49492,283464.9
Q2,2011,68407.2,0.1,57538.700000000004,10725.4,143,139116.2,43929.1,43929.1,0,73.6,49006.7,300532.80000000005
Q3,2011,64984.3,9.1,54899,10020.6,55.6,129088.9,46711.2,46711.2,0,72.8,76571.8,317429
Q4,2011,41313,3.4,38290.7,2851.8,167.1,136717.1,46157.8,46157.8,0,77.5,79168.5,303433.9
Q1,2012,45021.6,3.2,42100.6,2862,55.8,141653.1,9358.4,9358.4,0,75.6,52361.399999999994,248470.1
Q2,2012,46626.5,2.9,43135.100000000006,3328.4,160.1,150108.2,9415,9415,0,75.8,67733.7,273959.2
Q3,2012,50515.06,4.1,47722.1,2705.66,83.2,155483.786,9173.38,9173.38,0,74.9,64395.119999999995,279642.246
Q4,2012,42584.6,3.1,37507.8,4872.4,201.3,162585.7,11874.1,11874.1,0,78.8,63241.95,280365.15
Q1,2013,52549.399999999994,2.6,48100.600000000006,4380.7,65.5,168536.1,9634.199999999999,9634.199999999999,0,76.1,38068.9,268864.7
