,,,,,,,
القائمة الرئيسية   Main List,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,
Table 12f: Residential New Mortgages Finance for Individuals Provided by Banks,,,,,,جدول 12f: التمويل العقاري السكني الجديد للأفراد المقدم من المصارف,
,,,,,,,
الفترة,,إجمالي عدد العقود ,الفلل,الشقق ,الأراضي ,حجم التمويل,
,,,,,,,
Period,,Total Number of Contracts ,Houses ,Apartments,Land,Total,
,,, (Million SAR مليون ريال ),,,,
2018-03-31T00:00:00,,3716,1906.21905595,335.13764774,174.9649684,2416.32167209,
2018-04-30T00:00:00,,3894,2016.39113553,285.67004199,176.48563433,2478.54681185,
2018-05-31T00:00:00,,3707,1863.70160167,224.69091742,164.00434437,2252.39686346,
2018-06-30T00:00:00,,1675,791.11372007,104.36345879,63.91507,959.39224886,
2018-07-31T00:00:00,,4031,1920.98694015,189.28356035,156.72189087,2266.99239137,
2018-08-31T00:00:00,,2742,1251.25437474,143.51042986,114.80470703,1509.56951163,
2018-09-30T00:00:00,,3490,1532,192,149,1873,
2018-10-31T00:00:00,,5642,2445.11965734,448.37064501,338.14282799,3231.63313034,
2018-11-30T00:00:00,,6209,2730.68279024,525.3907724,371.36380748,3627.43737012,
2018-12-31T00:00:00,,6202,2777.27085256,432.08390191,364.95133499,3574.30608946,
2019-01-31T00:00:00,,8063,3504.56741507,723.07354651,478.29082445,4705.93178603,
2019-02-28T00:00:00,,7871,3339.61715318,659.33447667,512.55441783,4511.50604768,
2019-03-31T00:00:00,,9662,4115.18586618,779.06083336,628.86975992,5523.11645946,
2019-04-30T00:00:00,,11066,4733.22081696,921.74350664,702.16236665,6357.12669025,
2019-05-31T00:00:00,,9538,4049.71680942,752.18996342,644.95704305,5446.86381589,
2019-06-30T00:00:00,,7442,3138.44749616,602.91070093,525.96189574,4267.32009283,
2019-07-31T00:00:00,,12643,5249.40530305,1051.65320836,979.70404471,7280.76255612,
2019-08-31T00:00:00,,8902,3585.16935823,767.52467394,829.31903878,5182.01307095,
2019-09-30T00:00:00,,12059,5017.11873061,964.19537699,1049.152026388,7030.466133988,
2019-10-31T00:00:00,,16131,6570.51503645,1333.758481692,1461.70614526,9365.979663402,
2019-11-30T00:00:00,,15551,6182.69368257,1434.2836586,1581.36596636,9198.34330753,
2019-12-31T00:00:00,,16851,7030.212532658,1317.50802952,1745.56247859,10093.283040768,
2020-01-31T00:00:00,,18489,7126.01802161,1365.93825271,2592.33994463,11084.29621895,
2020-02-29T00:00:00,,19086,7731.059586868,1449.10822772,2502.07998456549,11682.2477991535,
2020-03-31T00:00:00,,18559,6876.78722303,1854.90183846,3112.22128942,11843.91035091,
2020-04-30T00:00:00,,13305,5423.83213431,1282.80728779,1930.34331194,8636.98273404,
2020-05-31T00:00:00,,12961,5620.86967362,1412.0679386,1717.850965891,8750.788578111,
2020-06-30T00:00:00,,20823,9807.36212540224,1595.13105886,2989.71419826,14392.2073825222,
