,,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,
Table 28b: SADAD System Payments Value* ,,,,جدول 28b:  مبـالـغ  مـدفـوعــات نظام ســــداد*,
(Value in Thousand ﷼),,,, (القيمة بالألف ﷼),
,,مبالغ الفواتير المسددة      Value of Bills Paid,,,
الفترة,,,,,
Period,, من خلال سداد, من خلال قنوات أخرى,الإجمالي,
,, Through SADAD,Through Other Channels,Total ,
2022-08-31T00:00:00,,54254092.592535,5437086.09523,59691178.687764995,
2022-09-30T00:00:00,,48057455.40706,5564739.84693,53622195.253989995,
2022-10-31T00:00:00,,60946655.884,5689578.364,66636234.248,
2022-11-30T00:00:00,,56585378.94307,10459948.18891,67045327.13198,
2022-12-31T00:00:00,,52401970.34,4021795.94063,56423766.28063001,
2023-01-31T00:00:00,,62861910.52559,7288306.25845,70150216.78404,
2023-02-28T00:00:00,,47385378.73653,2444670.04064,49830048.777169995,
2023-03-31T00:00:00,,49898946.2,4614947.4,54513893.6,
2023-04-30T00:00:00,,69588907.70229,4707515.12063,74296422.82292,
2023-05-31T00:00:00,,71050432.0884899,4299321.92455,75349754.0130399,
2023-06-30T00:00:00,,54495588.87438,5103012.75918,59598601.63356,
2023-07-31T00:00:00,,64294765.9654199,6341142.8882,70635908.8536199,
2023-08-31T00:00:00,,56670980.0004401,6736782.4473,63407762.4477401,
2023-09-30T00:00:00,,49889490.88739,6528596.83995,56418087.727340005,
2023-10-31T00:00:00,,73346482.57942,9131350.33541,82477832.91483,
2023-11-30T00:00:00,,57037456.9790035,8777125.85097,65814582.8299735,
2023-12-31T00:00:00,,62487869.99986,7915530.84082,70403400.84068,
2024-01-31T00:00:00,,64286679.40074,6018320.6755525,70305000.0762925,
2024-02-29T00:00:00,,58325527.45256,6249187.67973,64574715.13229,
2024-03-31T00:00:00,,56388252.63353,5999943.38322,62388196.01675,
2024-04-30T00:00:00,,86755797.7907,6074612.46388,92830410.25458,
2024-05-31T00:00:00,,65537792.4747601,7749338.81536,73287131.2901201,
2024-06-30T00:00:00,,57504521.49601,6001342.66646,63505864.16247,
2024-07-31T00:00:00,,78591944.12,7118101.94,85710046.06,
2024-08-31T00:00:00,,60311589.7,7412322.136,67723911.836,
2024-09-30T00:00:00,,71612666.86,8063062.99,79675729.85,
2024-10-31T00:00:00,,80138861.68,9672253.466,89811115.14600001,
2024-11-30T00:00:00,,60669117.17672,9404384.52628,70073501.70300001,
