,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,القائمة الرئيسية   Main List,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30b: Distribution of ATMs by Bank,,,,,,,,,,,جدول 30b: توزيع أجهزة الصرف الآلي حسب المصرف,,Contd. 2 table 30b: Distribution of ATMs by Bank,,,,,,,,,,,,تابع 2 جدول 30b: توزيع أجهزة الصرف الآلي حسب المصرف
,,,,,,,,,,,,,,,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك الرياض,البنك السعودي,البنك العربي,البنك السعودي,بنك,البنك الأول*,البنك السعودي,مصرف,مجموعة سامبا,,نهاية,,بنك ,بنك الإمارات ,بنك ,بنك ,مصرف,بنك ,بنك,بنك,بنك قطر, أخرى **,المجموع
الفترة,,السعودي***,,الفرنسي,الوطني,الأول*,الجزيرة,,للإستثمار,الراجحي,المالية ***,,الفترة,,البلاد ,دبي الوطني,الكويت الوطني,مسقط,الإنماء, البحرين الوطني,الخليج الدولي,أبو ظبي الأول,الوطني,,
End of,, Saudi National ,Riyad, Banque Saudi ,The Arab,Saudi Awwal,Bank,Alawwal,Saudi Investment,Al-Rajhi ,Samba,,End of,,AL-Bilad,Emirates, National Bank , Muscat,Alinma,  National Bank ,Gulf International,First Abu Dhabi,Qatar National, Others **,Total
Period,, Bank***,  Bank,Fransi,National Bank,Bank*, Al-Jazira,Bank*,Bank,Bank,Financial Group***,,Period,,Bank ,NBD,of Kuwait,Bank,Bank,of Bahrain,Bank,Bank,Bank,,
Q2,2024,2959,2117,441,1167,1086,605,---,375,4481,---,,Q2,2024,880,57,3,0,1537,2,0,6,---,0,15716
Q3,2024,2995,1979,430,1140,1092,598,---,360,4420,---,,Q3,2024,863,59,3,0,1501,2,0,6,---,0,15448
Q4,2024,3004,1796,393,1091,1069,587,---,354,4371,---,,Q4,2024,854,62,3,0,1483,2,0,6,---,0,15075
Q1,2025,3071,1728,387,1061,1052,589,---,350,4322,---,,Q1,2025,844,62,3,0,1461,2,0,6,2,0,14940
Q2,2025,3109,1671,373,1078,1043,576,---,331,4304,---,,Q2,2025,826,63,3,0,1455,2,0,6,2,0,14842
Q3,2025,3098,1679,367,1081,1035,569,---,327,4302,---,,Q3,2025,822,65,3,0,1440,2,0,6,2,0,14798
Q4,2025,3093,1670,370,1012,999,565,---,328,4327,---,,Q4,2025,822,67,3,0,1408,2,0,6,2,0,14674
,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-31T00:00:00,,324,196,112,226,109,12,65,16,304,104,,1998-01-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,9,1582
1998-02-28T00:00:00,,329,194,112,225,109,12,66,16,330,105,,1998-02-28T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,9,1613
1998-03-31T00:00:00,,331,199,112,224,110,12,67,17,344,106,,1998-03-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,9,1637
1998-04-30T00:00:00,,336,206,114,226,111,12,68,19,349,106,,1998-04-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,9,1662
1998-05-31T00:00:00,,340,211,115,224,114,12,68,20,358,106,,1998-05-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,9,1684
1998-06-30T00:00:00,,341,217,110,224,112,12,69,22,362,107,,1998-06-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,9,1692
