,,,,,,
القائمة الرئيسية   Main List,,,,,احصاءات اسعار الفائدة وأسواق المال   Money Market & Exchange Rate Stat.,
,,,,,,
Table 1: RIYAL - SDR  Exchange Rate,,,,,جدول 1:  سعر الـصرف للريال وحقوق السحب الخاصة,
,,,,,,
,,ريال سعودي لكل وحدة حقوق سحـب خاصة ,,وحـدة حقوق سحـب خاصة لكل ريال سعودي,,
الفترة,,Saudi Riyal per SDR,,SDR per Saudi Riyal,,
Period,,نهاية,متوسط,نهاية,متوسط,
,,End,Average,End,Average,
2014-07-31T00:00:00,,5.74241,5.77984590909091,0.174142912122262,0.173016612728889,
2014-08-31T00:00:00,,5.69395,5.72338333333333,0.175625005488281,0.174723886718703,
2014-09-30T00:00:00,,5.55969,5.62184428571429,0.179866143615921,0.177882339720651,
2014-10-31T00:00:00,,5.54373,5.57426285714286,0.180383965308556,0.179397426081877,
2014-11-30T00:00:00,,5.49092,5.50103166666667,0.182118843472496,0.181785126541754,
2014-12-31T00:00:00,,5.43301,5.4632419047619,0.18406003302037,0.183044679189141,
2015-01-31T00:00:00,,5.28675,5.32782315789474,0.189152125597011,0.18770350146249,
2015-02-28T00:00:00,,5.27774,5.29547555555556,0.189475040452921,0.18884133764304,
2015-03-31T00:00:00,,5.17309,5.19408954545455,0.19330806152609,0.192538384244871,
2015-04-30T00:00:00,,5.27407,5.18957454545455,0.189606888039029,0.192702172309861,
2015-05-31T00:00:00,,5.21439,5.2669815,0.191776986378081,0.189869802525249,
2015-06-30T00:00:00,,5.27398,5.26777,0.189610123663723,0.189837690006869,
2015-07-31T00:00:00,,5.23013,5.23498363636364,0.19119983633294,0.191024040015087,
2015-08-31T00:00:00,,5.26424,5.25903761904762,0.189960944029907,0.190157380821756,
2015-09-30T00:00:00,,5.26402,5.27356952380952,0.189968883096949,0.189626458135596,
2015-10-31T00:00:00,,5.23829,5.27296380952381,0.190901992825903,0.189651507590669,
2015-11-30T00:00:00,,5.14562,5.18387578947368,0.194340040655936,0.192910801359966,
2015-12-31T00:00:00,,5.19648,5.19615545454546,0.19243795800234,0.192453715793727,
2016-01-31T00:00:00,,5.17687,5.1820052631579,0.193166913598371,0.192976166403501,
2016-02-29T00:00:00,,5.17992,5.223914,0.193053174566403,0.191433757469329,
