,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,
,,,,
,,,,
,,,,
Table 5: Monetary Ratios,,,,جدول 5  : نــســـــــب نـقـــــديــــــــة 
(Percentage Shares),,,,(نـسـب مـئـوية)
نهاية الفترة,,النقد المتداول خارج المصارف / ن3,ن1/ ن3,ن2/ ن3
End of Period,,Currency Outside Banks /M3,M1/M3,M2/M3
1998-06-30T00:00:00,,16.77747244690784,52.83213350827387,81.43783001411651
1998-07-31T00:00:00,,16.50444601015106,52.3679120080357,81.13472064684919
1998-08-31T00:00:00,,16.134232543648107,51.90843039818882,80.89550683413877
1998-09-30T00:00:00,,15.752036265425598,50.35583629245218,79.23197534816983
1998-10-31T00:00:00,,15.745997488720823,50.28196724924714,79.22253906331458
1998-11-30T00:00:00,,15.704211286126082,50.151875304371295,79.1907685813346
1998-12-31T00:00:00,,15.893395512490772,49.521335147139226,78.97737508998519
1999-01-31T00:00:00,,15.999445766316192,50.46992461086823,79.26076097923612
1999-02-28T00:00:00,,15.924708455026268,50.76344816572191,79.4983074325856
1999-03-31T00:00:00,,16.44189677202553,51.18727086486001,80.29270446152837
1999-04-30T00:00:00,,15.764797572993292,51.15204359587431,80.03800723559252
1999-05-31T00:00:00,,15.850754627133826,51.21504837341928,80.06819350059706
1999-06-30T00:00:00,,15.620018531980964,51.3355431278144,80.11706632821382
1999-07-31T00:00:00,,15.201722003523614,51.51910428636592,80.0490219196807
1999-08-31T00:00:00,,14.835577229475073,50.928337016018254,79.9935416387136
1999-09-30T00:00:00,,14.740447667605519,50.60401891550955,79.77815869878259
1999-10-31T00:00:00,,15.023832251512253,50.360813411520276,78.89314024068396
1999-11-30T00:00:00,,15.033546414561826,50.84166448879925,79.18896371162886
1999-12-31T00:00:00,,18.02619803927839,51.290645526792964,79.23058894957481
2000-01-31T00:00:00,,15.860634189070161,52.35295085819002,80.77377072468538
