,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,
Table 27c: SARIE Messages (Bulk Transactions)*,,,,,,,,جدول 27c:  عدد رسائل ســريــع (عمليات مجمعة)*,
,,,,,,,,,
,, مدفوعات العملاء ,,,مدفوعات ما بين المصارف,,,,
الفترة,,Customer Payments,,,Interbank Payments,,,المجموع,
,,مجمعة,مفردة,مجموع,مجمعة,مفردة,مجموع,Total,
Period,,,,Total,,,Total,(1+2),
,,Bulk,Single,(1),Bulk,Single,(2),,
2022-03-31T00:00:00,,500578,182971,683549,7688,141335,149023,832572,
2022-04-30T00:00:00,,443905,198184,642089,6035,112038,118073,760162,
2022-05-31T00:00:00,,349208,187361,536569,6561,88424,94985,631554,
2022-06-30T00:00:00,,465282,198823,664105,8079,141917,149996,814101,
2022-07-31T00:00:00,,349449,153495,502944,6143,79957,86100,589044,
2022-08-31T00:00:00,,441498,190593,632091,6945,100885,107830,739921,
2022-09-30T00:00:00,,442605,196150,638755,6680,81504,88184,726939,
2022-10-31T00:00:00,,485379,234688,720067,8230,89175,97405,817472,
2022-11-30T00:00:00,,490828,246253,737081,7265,88053,95318,832399,
2022-12-31T00:00:00,,547795,214289,762084,6242,80806,87048,849132,
2023-01-31T00:00:00,,469012,224358,693370,6155,83426,89581,782951,
2023-02-28T00:00:00,,421532,204737,626269,5307,74437,79744,706013,
2023-03-31T00:00:00,,575729,239485,815214,6290,92251,98541,913755,
2023-04-30T00:00:00,,444100,211430,655530,4911,64876,69787,725317,
2023-05-31T00:00:00,,550115,281868,831983,5999,90536,96535,928518,
2023-06-30T00:00:00,,524610,207604,732214,5783,72867,78650,810864,
2023-07-31T00:00:00,,492029,227803,719832,5849,80453,86302,806134,
2023-08-31T00:00:00,,554054,265997,820051,5962,81247,87209,907260,
2023-09-30T00:00:00,,465049,221148,686197,4535,70794,75329,761526,
2023-10-31T00:00:00,,594005,302301,896306,5815,84822,90637,986943,
2023-11-30T00:00:00,,616892,290805,907697,7736,69911,77647,985344,
2023-12-31T00:00:00,,628930,282178,911108,8392,57885,66277,977385,
2024-01-31T00:00:00,,546185,356124,902309,8377,64017,72394,974703,
2024-02-29T00:00:00,,546402,352738,899140,7951,60802,68753,967893,
