,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,
Table 29c: Remittance Services Centers,,,,,,,,,,جدول 29c: مراكز الحوالات,
,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك الرياض,البنك العربي,بنك الجزيرة,مصرف الراجحي,مجموعة سامبا,بنك البلاد,مصرف الإنماء,المجموع,
الفترة,,السعودي*,,الوطني,,,المالية *,,,,
End of,,Saudi National ,Riyad,The Arab, Bank ,Al-Rajhi ,Samba,Bank,Alinma,Total ,
Period,,Bank*,  Bank,National Bank,Al-Jazira,Bank,Financial Group *, Albilad ,Bank,,
2015-06-30T00:00:00,,98,21,95,22,176,31,163,---,606,
2015-07-31T00:00:00,,98,21,95,23,176,32,164,---,609,
2015-08-31T00:00:00,,100,21,96,23,179,32,165,---,616,
2015-09-30T00:00:00,,107,21,96,24,179,31,167,---,625,
2015-10-31T00:00:00,,111,21,96,25,179,31,168,---,631,
2015-11-30T00:00:00,,111,21,96,26,183,30,169,---,636,
2015-12-31T00:00:00,,138,24,96,30,186,30,171,---,675,
2016-01-31T00:00:00,,138,25,96,30,188,30,172,---,679,
2016-02-29T00:00:00,,138,25,95,30,190,30,172,---,680,
2016-03-31T00:00:00,,138,25,94,30,191,29,172,---,679,
2016-04-30T00:00:00,,139,25,95,30,192,29,172,---,682,
2016-05-31T00:00:00,,139,25,95,31,193,29,173,---,685,
2016-06-30T00:00:00,,139,25,95,33,198,29,173,---,692,
2016-07-31T00:00:00,,139,25,95,33,198,29,173,---,692,
2016-08-31T00:00:00,,139,25,95,35,198,29,173,---,694,
2016-09-30T00:00:00,,140,24,95,36,199,29,173,---,696,
2016-10-31T00:00:00,,145,24,95,36,202,29,172,---,703,
2016-11-30T00:00:00,,145,24,94,38,208,29,174,---,712,
2016-12-31T00:00:00,,148,24,95,41,217,29,176,---,730,
2017-01-31T00:00:00,,148,25,95,43,219,29,177,---,736,
2017-02-28T00:00:00,,148,25,96,44,220,29,178,---,740,
2017-03-31T00:00:00,,148,25,96,45,223,29,178,---,744,
2017-04-30T00:00:00,,148,20,95,47,226,29,178,---,743,
2017-05-31T00:00:00,,148,20,96,48,230,29,178,---,749,
2017-06-30T00:00:00,,148,20,96,48,230,29,178,---,749,
2017-07-31T00:00:00,,148,20,96,48,231,28,178,---,749,
2017-08-31T00:00:00,,148,20,96,48,232,28,178,---,750,
2017-09-30T00:00:00,,148,20,96,48,232,28,179,---,751,
2017-10-31T00:00:00,,148,21,97,48,233,28,179,---,754,
