,,,,,
القائمة الرئيسية   Main List,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,
,,,,,
Table 4b: Money Supply Components in M3,,,,,جدول4b :   مــــكــــونـــــات عـــــرض الـنـقـــــــــود فــــي ن3
(Percentage Shares),,,,,(نـسـب مـئـوية)
نهاية الفترة,,النقد المتداول,الودائع,الودائع الزمنية ,الودائع الأخرى
,,خارج المصارف, تحت الطلب,والإدخارية,شبه النقدية
End of Period,,Currency,Demand,Time & Savings,Other Quasi-
,,Outside Banks,Deposits,Deposits,Money Deposits
2001-07-31T00:00:00,,14.623084829460995,38.81396179890976,26.83957493059264,19.723378441036626
2001-08-31T00:00:00,,14.361746573839746,38.67447836006509,27.377470675785386,19.58630439030977
2001-09-30T00:00:00,,14.214401889787284,38.65413755504523,26.860330006157774,20.271130549009705
2001-10-31T00:00:00,,14.172758576333559,38.05656831884478,26.964428921655937,20.80624418316571
2001-11-30T00:00:00,,14.374388403544236,38.81869712330859,26.34378184143648,20.463132631710696
2001-12-31T00:00:00,,14.472324107175385,38.29383245604747,26.967414778963967,20.266428657813176
2002-01-31T00:00:00,,14.488345844992196,38.53108350956673,26.7776799331462,20.202890712294888
2002-02-28T00:00:00,,14.658963634901287,38.4832941179748,26.571669266332314,20.286072980791605
2002-03-31T00:00:00,,14.146035050728994,39.79987610041207,26.245070318258236,19.80901853060071
2002-04-30T00:00:00,,14.121640307707525,40.50825561427816,25.484959106821982,19.885144971192332
2002-05-31T00:00:00,,14.149149152253205,40.75613282382244,25.132614198065266,19.96210382585909
2002-06-30T00:00:00,,14.054559327791877,40.94874687437873,25.14536414251657,19.851329655312824
2002-07-31T00:00:00,,13.560584606369765,41.0705148839282,25.285188977171146,20.083711532530884
2002-08-31T00:00:00,,13.240349781144573,41.008597416357226,25.452563467078004,20.298489335420193
2002-09-30T00:00:00,,13.021408414683597,40.50587012158308,25.34420430156768,21.128517162165643
2002-10-31T00:00:00,,13.019406310384404,39.365845796373996,26.846342063673823,20.768405829567765
2002-11-30T00:00:00,,14.133592737014295,38.83905848085429,26.727833292835623,20.299515489295796
2002-12-31T00:00:00,,13.410574231811514,38.44350847831087,27.684732023679352,20.46118526619827
2003-01-31T00:00:00,,13.81790943349641,38.91111891181712,27.65463374020803,19.61633791447845
2003-02-28T00:00:00,,13.778036276934024,38.50568782851653,27.512940391235496,20.203335503313944
2003-03-31T00:00:00,,13.925174869885954,39.25699391734911,26.780948667484484,20.036882545280456
2003-04-30T00:00:00,,13.886809961893807,39.95617798610989,26.413739602003027,19.743272449993288
2003-05-31T00:00:00,,13.756531809168788,40.16621065895168,26.148883295056436,19.9283742368231
2003-06-30T00:00:00,,13.598120498830005,40.35718440869591,26.008422995895142,20.036272096578944
2003-07-31T00:00:00,,13.252515040530946,40.823962149903146,26.160133326001468,19.763389483564428
2003-08-31T00:00:00,,12.92364838274061,40.55263373804453,26.204998928702917,20.31871895051196
2003-09-30T00:00:00,,12.981363604033627,40.25293429865398,26.44881671335711,20.316885383955274
2003-10-31T00:00:00,,13.340702670719104,40.36639024644572,26.23179751859122,20.061109564243946
2003-11-30T00:00:00,,13.965748127751018,39.787871784336346,26.74129787664234,19.50508221127031
2003-12-31T00:00:00,,13.292677173491752,40.17609140673239,27.182938732461082,19.34829268731478
2004-01-31T00:00:00,,13.981114116586395,40.326581510391904,26.947132220670866,18.74517215235085
2004-02-29T00:00:00,,13.267197773601666,40.9127528167802,26.653122983182598,19.166926426435552
2004-03-31T00:00:00,,13.02604751558771,41.84894338393429,25.62741356214886,19.497595538329147
2004-04-30T00:00:00,,13.150717888279653,42.55319256790144,24.969374672689455,19.326714871129457
2004-05-31T00:00:00,,13.049217283454068,42.02948517047107,25.156677338951155,19.76462020712372
2004-06-30T00:00:00,,12.742554930773947,41.433583384055964,25.72920986968516,20.094651815484934
2004-07-31T00:00:00,,12.379024920630433,42.18827458266109,26.53821037326655,18.894490123441916
2004-08-31T00:00:00,,12.013655191719876,41.37920017112641,28.157391254645642,18.44975338250807
2004-09-30T00:00:00,,12.27072698157141,41.02399034210647,27.605222049533356,19.100060626788746
2004-10-31T00:00:00,,12.88523806641581,39.892025403474044,27.52934894589621,19.69338758421393
2004-11-30T00:00:00,,12.131403829424846,40.582046319177984,29.250876314081687,18.035673537315482
2004-12-31T00:00:00,,12.131739813505183,42.60316783661158,27.573476738483738,17.69161561139951
2005-01-31T00:00:00,,12.179563002543912,42.12636092800469,27.264380016023352,18.429696053428053
2005-02-28T00:00:00,,11.76600993447489,42.102875097488884,27.554901902689206,18.576213065347023
2005-03-31T00:00:00,,11.47409901227002,42.515689146445524,27.811465480723328,18.19874636056112
2005-04-30T00:00:00,,11.353166225287913,42.67612932508037,27.441987549894066,18.528716899737656
2005-05-31T00:00:00,,11.261936588231947,41.90017025329874,28.914527973941983,17.923365184527317
2005-06-30T00:00:00,,11.336731911965115,40.701221503318266,29.56351316626099,18.398533418455628
2005-07-31T00:00:00,,11.204117092592796,42.110975635149615,28.50258529402169,18.18232197823591
2005-08-31T00:00:00,,11.097487693940506,41.08489136880387,29.473980340668327,18.343640596587292
2005-09-30T00:00:00,,11.130106867608315,39.88751929378084,30.053391229326603,18.928982609284244
2005-10-31T00:00:00,,12.292582524521823,38.95095529784324,30.31522569209016,18.441236485544767
