,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 4: Net Earned Premium by Line of Business*,,,,,,,,,,,,,جدول 4: صافي الأقساط المكتسبة حسب نوع النشاط*
 (Thousand ﷼),,,,,,,,,,,,,(ألف ﷼)
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
Q1,2021,1410.90471197,3454,33181.37117024,41371.24371648,84673.90649524,67273.67041173,1853091.35096629,77389.57874101,2161846.02621296,236531.78742,5430282.0553938,7828659.86902676
Q2,2021,1860.32590047,5052,41883.45849797,53510.82983977,94219.8067688,88391.11128233,1888496.43632365,56771.69425123,2230185.66286422,278067.89284,5648012.07737404,8156265.63307826
Q3,2021,1749.29277103,5950,48618.87009418,47829.75318493,108773.98268736,128682.34702779,1881431.98774251,80337.33897614,2303373.57248394,271908.30195,5674326.35343005,8249608.227863991
Q4,2021,2030.3074818,7253,52287.44202201,45480.93757823,112744.54163381,125628.12698995,1894175.29051862,78093.67646159,2317693.32268601,290442.68554,6007262.83986163,8615398.84808764
Q1,2022,913.33633275,4758,54436.99211791,47159.56233654,116160.93867403,157315.71724316,1873819.49908919,93587.1845047,2348151.23029828,299998.02675,6314484.83548175,8962634.09253003
Q2,2022,795.69013572,8184,53608.11189164,58818.71628611,122245.50823823,226395.52780558,1987458.62900976,60079.36213257,2517585.54549961,334698.9286,6880240.15263646,9732524.626736071
Q3,2022,1326.84238596,11681,45399.57093925,53307.2387211,101134.18515518,238705.68070307,2070077.10650685,35172.23473729,2556803.8591487003,329419.11173,7371084.0710711,10257307.041949801
Q4,2022,1482.26251227,-839,55114.68887991,48460.82709424,126232.32422811,240275.74006183,2570592.71257763,107213.56827729,3148533.12363128,220651.65048,7891289.80484654,11260474.57895782
Q1,2023,1538.5908216001,8367,24494.0472736416,35082.5250423634,62451.9891170495,257235.087724948,2580692.339436,-21426.3494641409,2948435.229951462,277716.6367,8270244.00949556,11496395.876147022
Q2,2023,1634.93215028,4128.72216,45705.39925936,51681.95741366,41363.83501309,182259.32519558,2822655.26726679,5452.28048798,3154881.71894674,293072.50809,8652162.65498361,12100116.88202035
