,,,,,,,
القائمة الرئيسية   Main List,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,
Table 12a: Bank Claims on Private Sector,,,,,,جدول 12a: مطلوبات المصــــارف من القطــــاع الخـــاص ,
(Million ﷼),,,,,,(مليون ﷼),
نهاية الفترة,,ائتمان مصرفي,,,,,
,,Bank Credit ,,,استثمارات في,الإجمالي,
,,قروض وسلف,كمبيالات,المجموع,أوراق مالية خاصة,,
End of Period,,وسحوبات على المكشوف,مخصومة,,Investments in,Grand,
,,"Loans, Advances",Bills,Total,Private Securities,Total,
,,& Overdrafts,Discounted,,,,
1999-08-31T00:00:00,,136046.445,2426.485,138472.93,9847.005,148319.935,
1999-09-30T00:00:00,,137654.348,2489.067,140143.415,9829.874,149973.289,
1999-10-31T00:00:00,,138379.822,2611.147,140990.969,9896.742,150887.711,
1999-11-30T00:00:00,,140501.144,2826.288,143327.432,10011.414,153338.846,
1999-12-31T00:00:00,,148921.674,3053.713,151975.387,10214.427,162189.814,
2000-01-31T00:00:00,,140799.39,2997.399,143796.789,10491.841,154288.63,
2000-02-29T00:00:00,,141592.22499999998,3156.241,144748.466,10343.78,155092.24599999998,
2000-03-31T00:00:00,,141148.576,3303.3179999999998,144451.894,10337.29,154789.184,
2000-04-30T00:00:00,,142442.84600000002,3557.175,146000.021,10446.885,156446.90600000002,
2000-05-31T00:00:00,,142941.136,3693.117,146634.253,10713.211000000001,157347.464,
2000-06-30T00:00:00,,145682.09,3837.186,149519.27599999998,10694.999,160214.275,
2000-07-31T00:00:00,,146340.326,3919.621,150259.94700000001,10279.852,160539.79900000003,
2000-08-31T00:00:00,,147167.31699999998,3928.929,151096.24599999998,10612.727,161708.973,
2000-09-30T00:00:00,,150160.28900000002,3957.116,154117.40500000003,10819.589,164936.99400000004,
2000-10-31T00:00:00,,153588.14,4021.646,157609.78600000002,10680.114,168289.9,
2000-11-30T00:00:00,,153518.289,4157.784,157676.07299999997,10744.591,168420.664,
2000-12-31T00:00:00,,156821.772,4272.621999999999,161094.394,11143.665,172238.059,
2001-01-31T00:00:00,,157768.201,4180.130999999999,161948.332,8344.489,170292.821,
2001-02-28T00:00:00,,160080.05099999998,4357.04,164437.091,8221.663,172658.754,
2001-03-31T00:00:00,,160076.399,4189.209,164265.608,8253.153,172518.761,
2001-04-30T00:00:00,,161327.399,4288.786,165616.185,8127.0830000000005,173743.268,
2001-05-31T00:00:00,,163595.89500000002,4332.4310000000005,167928.32600000003,8763.181,176691.50700000004,
2001-06-30T00:00:00,,165277.741,4453.0509999999995,169730.79200000002,8801.258,178532.05,
2001-07-31T00:00:00,,166256.949,4565.8769999999995,170822.826,8585.66,179408.486,
2001-08-31T00:00:00,,167333.581,5138.264,172471.845,8560.867,181032.712,
2001-09-30T00:00:00,,169124.362,5218.018999999999,174342.381,8392.244,182734.625,
2001-10-31T00:00:00,,169594.82299999997,5481.643,175076.466,9793.005000000001,184869.471,
2001-11-30T00:00:00,,170314.242,5383.221,175697.463,9693.799,185391.262,
2001-12-31T00:00:00,,171575.09699999998,5227.832,176802.92899999997,10261.192,187064.12099999998,
2002-01-31T00:00:00,,171818.071,5388.446,177206.517,10065.342,187271.859,
2002-02-28T00:00:00,,174583.102,5563.07,180146.17200000002,9944.678,190090.85,
2002-03-31T00:00:00,,175643.3,5376.326,181019.626,9899.301000000001,190918.927,
2002-04-30T00:00:00,,179939.18,5579.738,185518.918,9962.091,195481.00900000002,
2002-05-31T00:00:00,,183143.101,5709.882,188852.983,9854.185,198707.168,
2002-06-30T00:00:00,,187966.288,5840.901,193807.189,10930.757000000001,204737.94600000003,
2002-07-31T00:00:00,,190297.865,6088.526,196386.391,10548.112,206934.503,
2002-08-31T00:00:00,,190891.54600000003,6218.868,197110.41400000002,10213.67,207324.08400000003,
2002-09-30T00:00:00,,193209.919,6378.77,199588.68899999998,10071.019,209659.70799999998,
2002-10-31T00:00:00,,194804.474,6623.389,201427.86299999998,10875.663999999999,212303.52699999997,
2002-11-30T00:00:00,,200233.734,6835.688,207069.422,7174.675,214244.09699999998,
2002-12-31T00:00:00,,191539.763,7157.454,198697.217,7132.259000000001,205829.476,
2003-01-31T00:00:00,,198605.239,7220.8460000000005,205826.085,7155.911,212981.99599999998,
2003-02-28T00:00:00,,183928.131,7244.78,191172.911,7229.071,198401.982,
2003-03-31T00:00:00,,187405.26,7105.043000000001,194510.303,7118.336,201628.63900000002,
2003-04-30T00:00:00,,188466.706,7218.78,195685.486,7264.965,202950.451,
2003-05-31T00:00:00,,190749.06699999998,7537.9130000000005,198286.98,7388.446,205675.42599999998,
2003-06-30T00:00:00,,194050.37900000002,7940.817,201991.19600000003,7310.454999999999,209301.651,
2003-07-31T00:00:00,,198138.358,8696.468,206834.826,7719.554,214554.38,
2003-08-31T00:00:00,,202091.22,8930.063,211021.283,7386.56,218407.843,
2003-09-30T00:00:00,,204067.41600000003,8805.182999999999,212872.59900000002,7223.644,220096.24300000002,
2003-10-31T00:00:00,,208520.96,9311.986,217832.94600000003,6912.617,224745.56300000002,
2003-11-30T00:00:00,,210245.18600000002,9252.756,219497.942,7080.97,226578.912,
2003-12-31T00:00:00,,211046.981,10076.012999999999,221122.994,7363.255999999999,228486.25,
2004-01-31T00:00:00,,216948.34,10452.503,227400.84300000002,7488.616,234889.45900000003,
2004-02-29T00:00:00,,216724.954,10498.094000000001,227223.048,7698.278,234921.326,
2004-03-31T00:00:00,,222632.363,11059.716,233692.07900000003,7553.866999999999,241245.94600000003,
