,,From          مـن,,,,,,,,,,A. Sales Attributable to Specific Purposes        أ - مبيعات منسوبة لأغراض محددة,,,,,,,,,,,,,B: Sales to Third Parties    ب: مبيعات لجهات أخرى - طرف ثالث,,,,,,,,المجموع الكلي
الفترة,,,,,,,مجموع المشتريات,,,الفترة,,تمويل الواردات,مقاولون أجانب,,تحويلات شخصية,,السفر الى الخارج,,إستثمارات  ,(الإجمالي(أ,,,الفترة,, للصيارفة,لجهات حكومية,للبنك,للوزارات أو البلديات,لعملاء آخرين,مصارف داخل المملكة,مصارف خارج المملكة,(الإجمالي(ب,( أ + ب  )
,,البنك المركزي,المصارف المحلية,المصارف الخارجية,عملاء,مصادر أخرى,,,,,,,Foreign Contractors,,Personal Transfers,,Foreign Travel,,بالخارج,,,,,,,,المركزي,,في المملكة,,,,
Period,,,,,,,Total Purchases,,,Period,,Import,إستيراد السلع,أغراض أخرى,سعودي,غير سعودي,سعودي,غير سعودي,Investments,Sub-Total (A),,,Period,,Money,Govt.,SAMA,Ministries or,Other Customers,Domestic Banks,Overseas Banks,Sub-Total (B),Total
,,SAMA  ,Local Banks ,Banks Abroad,Customers,Other Sources,,,,,,Financing,Import of Goods,Other Purposes,Saudis,Non-Saudis,Saudis,Non-Saudis,Abroad,,,,,,Changers,Agencies,,Municipalities,in the Kingdom,,, , ( A  +  B )
1993-09-30T00:00:00,,10041.5,25416.800000000003,68981.7,---,17707.7,122147.7,,,1993-09-30T00:00:00,,3781.4,939.8,---,8715.9,---,2565,---,23.700000000000003,16054.5,,,1993-09-30T00:00:00,,1148.8,32.2,---,151.1,35975.6,---,72840.8,110148.5,126203
1993-10-31T00:00:00,,10380.4,17741.6,50220.7,---,16227.700000000003,94570.4,,,1993-10-31T00:00:00,,3708.9,1000.9000000000001,---,5219.200000000001,---,2589,---,3.2,12712.800000000001,,,1993-10-31T00:00:00,,1037.5,32.400000000000006,---,73,29678.3,---,52052.799999999996,82874,95586.8
1993-11-30T00:00:00,,11765.300000000001,25478.000000000004,53463.4,---,16193.9,106900.6,,,1993-11-30T00:00:00,,3955.1000000000004,764,---,5018.1,---,3320.7000000000003,---,37.6,14579.100000000002,,,1993-11-30T00:00:00,,1005.2,20.6,---,57.1,39247.5,---,58526.6,98857,113436.1
1993-12-31T00:00:00,,22760.600000000002,17849.399999999998,47362.100000000006,---,21490.1,109462.20000000001,,,1993-12-31T00:00:00,,3882.7999999999997,836.7,---,5377.7,---,2887,---,3,13742.900000000001,,,1993-12-31T00:00:00,,1069.1,6246.8,---,0.1,33007.9,---,53390.9,93714.8,107457.70000000001
1994-01-31T00:00:00,,3522.8,30528.7,47302.9,---,20402,101756.4,,,1994-01-31T00:00:00,,3082.6,1157.5,---,5810.8,---,2273.1,---,95.60000000000001,12419.700000000003,,,1994-01-31T00:00:00,,912.2,1300.5,---,0.1,42805.6,---,45298.6,90317,102736.7
1994-02-28T00:00:00,,8013,19730,42771.200000000004,---,19843,90357.20000000001,,,1994-02-28T00:00:00,,2960.4,1120.9,---,4917.2,---,3117,---,3.3000000000000003,12700.699999999999,,,1994-02-28T00:00:00,,989.5,116.7,---,287.00000000000006,36395.6,---,40221.6,78010.4,90711.09999999999
1994-03-31T00:00:00,,4129.5,26656.4,45750.8,---,15602.300000000001,92139.00000000001,,,1994-03-31T00:00:00,,3051.9,2798.6,---,4918.6,---,2198,---,15.2,13221.7,,,1994-03-31T00:00:00,,956,162.10000000000002,---,0,42238.200000000004,---,41192.4,84548.70000000001,97770.40000000001
1994-04-30T00:00:00,,8859.4,32932.4,46546.200000000004,---,14539,102877,,,1994-04-30T00:00:00,,3634.6,1407.9,---,4834.400000000001,---,2148.9,---,9.3,12379.5,,,1994-04-30T00:00:00,,1025.9,148.4,---,1.1,50250.7,---,39681.1,91107.2,103486.7
1994-05-31T00:00:00,,6696,24934.100000000002,31655.000000000004,---,11378.6,74663.70000000001,,,1994-05-31T00:00:00,,2720.7000000000003,937.7,---,4704.2,---,2100.4,---,3.5,10534,,,1994-05-31T00:00:00,,545.5,63.400000000000006,---,58.900000000000006,36283.4,---,30681.9,67633.1,78167.1
1994-06-30T00:00:00,,10162.5,33671.6,43454.6,---,10730.6,98019.3,,,1994-06-30T00:00:00,,2485.9,1513,---,4790.8,---,2053.1000000000004,---,1,11173.400000000001,,,1994-06-30T00:00:00,,1038.2,83.8,---,631.6,43429.1,---,39095.200000000004,84277.9,95451.29999999999
