,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 3: Net Claims Incurred by Line of Business*,,,,,,,,,,,,,جدول 3: صافي المطالبات المتكبدة حسب نوع النشاط*
 (Thousand ﷼),,,,,,,,,,,,,(ألف ﷼)
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
Q2,2011,362.9,-65,6863.41604284126,27874.769722569,10908.6780375475,14124.32287052,675212.5461455,208.802187500001,735490.4350064779,147472.495,1458581.22047223,2341544.150478708
Q3,2011,76.1611285000001,-1777,4772.9086210125,24589.987394223,30309.8222353922,10261.7026335,643485.708671,4910.079963,716629.3706466277,109722.95,1375746.98665229,2202099.307298918
Q4,2011,67.0004714999999,1919,7097.31252759719,17308.108079398,23306.2537875513,1779.707009,649621.510577,-2711.32856599993,698387.5638860465,92251.57,1583724.64453165,2374363.7784176962
Q1,2012,-318.03815,764,10385.825546756,19679.3895181608,12348.6422400125,11799.22103,743250.606612436,592.192588499999,798501.8393858653,110241.675445,1748410.78088387,2657154.295714735
Q2,2012,23,-3384,8548.16434862953,27127.5266491112,14739.8537688285,17348.4810075,824515.094847647,13489.650101,902407.7707227162,109791.037111,1798344.7418922,2810543.5497259162
Q3,2012,-6686.98468,-5487,21362.5659755504,-6529.01792242824,20669.8081866184,15785.419597648,801553.492514417,5194.2253945,845862.5090663056,101080.064103,1745887.77564878,2692830.3488180856
Q4,2012,-698.179625,-19629,34136.168062025,14620.755828447,41331.1751773947,19675.2386537041,891717.710307436,8761.1874175,989915.0558215067,86622.793491,2119946.56096805,3196484.4102805564
Q1,2013,579,1195,-971.102758857512,20200.8649417092,24240.0967486835,15252.045010707,1147727.520295,3702.91594,1211926.3401772422,95403.970508,2110675.48514287,3418005.795828112
Q2,2013,9.004,6942,24509.7277772268,30463.4199743858,77234.5905900756,26592.181547108,1211485.167482,3526.60943000001,1380762.7008007963,96563.734576,2361157.0734923,3838483.5088690966
Q3,2013,1631,88,17174.2560241097,40627.0186592163,95564.1231277888,18350.639903269,1220727.75112918,3332.82013100002,1397495.608974564,89854.7851210001,2274475.60584828,3761825.999943844
