,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 8a: Balance Sheet of Saudi Central Bank - Assets,,,,,,,,جدول 8a: الــمـركـــــز الـمــالــي  للبنك المركزي الســعــودي - الـموجــودات 
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,غطاء النقد,,نقد,ودائع لدى,إستثمارات في أوراق,موجودات متنوعة,
,,Cash Cover,,في الصندوق,البنوك بالخارج,مالية في الخارج,أخرى,الإجمالي
,,ذهب,نقد أجنبي ,,Deposits,Investment,Other,
End of Period,,,Foreign,Cash,with Banks,in Foreign,Miscellaneous,TOTAL
,,Gold, Currencies,in Vault,Abroad,Securities,Assets,
Q4,2023,1623.5024758099999,254802.98701098002,21671.81261635,361745.12416106,1001214.36988212,167173.5177265,1808231.3138728198
Q1,2024,1623.5024758099999,269346.92128398,18784.1894025,404568.05980586,1013717.30513648,150971.07691928,1859011.05502391
Q2,2024,1623.5024758099999,273275.33755398,20177.10186168,430962.17604588,1030581.72988437,138356.69224988998,1894976.5400716104
Q3,2024,1623.5024758099999,268707.19754197,23938.82722873,386252.74632741004,1036858.52040943,154337.71671746002,1871718.51070081
Q4,2024,1623.5024758099999,271290.81458398997,22488.71278953,319631.81108596,1029784.00932708,236467.69564041,1881286.54590278
Q1,2025,1623.5024758099999,291572.797254,17569.1458632,415815.25717345,975871.0726313501,251034.30823916,1953486.08363697
Q2,2025,1623.5024758099999,293868.47966396995,27603.01891567,425162.42695307,974191.86460477,234697.26819024002,1957146.56080353
Q3,2025,1623.5024758099999,286744.92734877,28758.725876110002,379795.11977740005,999975.97017797,234409.4853781,1931307.73103416
Q4,2025,1623.5024758099999,276904.33795218,13556.64323752,400136.60878028005,1026594.47773011,197960.34838369,1916775.9185595904
,,,,,,,,
2000-01-31T00:00:00,,756,77539,26548,19104,49122,41675.75743703998,214744.75743703998
2000-02-29T00:00:00,,756,77356,26551,18303,50687,48507.87128941994,222160.87128941994
2000-03-31T00:00:00,,756,77356,26951,21094,50970,51977.77450653,229104.77450653
2000-04-30T00:00:00,,756,73066,22001,21555,53794,52741.52283691999,223913.52283692
2000-05-31T00:00:00,,756,71155,18726,18827,59825,55177.12185373998,224466.12185373998
2000-06-30T00:00:00,,756,72065,20719,19549,54873,20175.227300839964,188137.22730083996
2000-07-31T00:00:00,,756,70700,20767,28956,53112,38075.71276180996,212366.71276180996
2000-08-31T00:00:00,,756,70215,21290,34677,53775,35110.99502594001,215823.99502594
2000-09-30T00:00:00,,756,69629,20839,42071,48881,37410.52390032998,219586.52390032998
2000-10-31T00:00:00,,756,67591,18673,46656,54609,36950.19320663999,225235.19320664
2000-11-30T00:00:00,,756,68930,18691,46249,56059,36409.83735145992,227094.83735145992
2000-12-31T00:00:00,,756,69830,13595,54574,58383,36302.487021559995,233440.48702156
2001-01-31T00:00:00,,756,68652,16778,61141,57056,29200.746269719995,233583.74626972
2001-02-28T00:00:00,,756,68917,12735,60264,57440,30538.349401189946,230650.34940118995
2001-03-31T00:00:00,,756,70237,17191,63396,53106,29572.637448810012,234258.63744881
2001-04-30T00:00:00,,756,70019,17351,65285,48883,29758.029226669983,232052.02922666998
2001-05-31T00:00:00,,756,68092,15417,66110,50599,29686.075603229983,230660.07560322998
2001-06-30T00:00:00,,756,71887,19626,62218,50396,22061.713011109998,226944.71301111
2001-07-31T00:00:00,,756,70561,20469,58307,57118,22850.695831799996,230061.6958318
