,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,
Table 9: Reserve Assets,,,,,,,جدول 9: الأصول الإحتياطية,
(Million ﷼),,,,,,,(مليون ﷼),
نهاية الفترة,,الذهب النقدي,حقوق السحب,وضع الإحتياطي لدى ,نقد أجنبي ,إستثمارات في أوراق,إجمالي الأصول,
,,,الخاصة, صندوق النقد الدولي,وودائع في الخارج,مالية في الخارج,الإحتياطية,
End of Period,,Monetary,SDR,Reserve Position,Foreign Currency ,Investment in Foreign,Total Reserves ,
,,Gold,, in the IMF,and Deposits Abroad,Securities,Assets,
Q2,2021,1623.54231183,31215.33323503012,14468.97828924284,515035.77625475,1117597.8942259909,1679941.4844808239,
Q3,2021,1623.54231183,81430.7394155566,14445.669508518,511376.36431828,1136717.24787835,1745593.52359651,
Q4,2021,1623.54231183,80782.5669931112,14618.9336234076,494048.76664738,1116565.04854785,1707638.81828756,
Q1,2022,1623.54231183,79946.1021291045,14347.96111177273,489775.19584338,1106906.6708242781,1692599.4323843454,
Q2,2022,1623.54231183,76834.04904720468,14514.01058694087,546616.0312588,1110519.600756011,1750107.1941247666,
Q3,2022,1623.54231183,73975.27437690225,13946.64781897215,554360.68336733,1112340.916429517,1756247.0244685314,
Q4,2022,1623.54231183,77306.27308987819,14710.14009037212,516695.23586594994,1114104.832567383,1724439.9840893932,
Q1,2023,1623.54231183,78380.78863937492,15089.85742130574,537322.9690618599,1012628.6093160838,1645045.7269144342,
Q2,2023,1623.54231183,78250.79710984128,14927.77273249568,616340.40767706,950875.9121747615,1662018.3921699685,
Q3,2023,1623.54231183,76656.57420800245,14277.52091661458,573515.6270306275,982010.354267705,1648083.5788987596,
Q4,2023,1623.54231183,78423.56079087798,13856.09871057318,558754.4044821399,985747.345719517,1638404.912178918,
Q1,2024,1623.54231183,77648.9596191056,13566.2933285294,616024.62563064,998524.9358079506,1707388.3168620355,
Q2,2024,1623.54231183,77293.47128306184,13330.72059919128,646285.03315376,1015635.2028423786,1754167.9303542017,
Q3,2024,1623.54231183,79864.41292364056,12643.17885081228,596874.32856178,1022641.2962758178,1713646.7190878605,
Q4,2024,1623.54231183,76977.0053531094,12165.9057077448,532724.68132975,1016078.0804137352,1639569.1752801496,
Q1,2025,1623.54231183,78523.7790415794,12504.9915398673,649078.77924805,961865.9529730828,1703597.0052783894,
Q2,2025,1623.54231183,81329.20141723224,13280.48234970479,660628.68221694,959438.5804866651,1716300.4489463521,
Q3,2025,1623.54231183,81106.9317915367,12961.75545202335,608168.7396115699,985569.6796847467,1689430.6090156867,
