,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,, الأرقام القياسية للأسعار       Price Indices,
,,,,,,,,,,,,,,,,
Table 1: Consumer Price Indices By Expenditure Divisions,,,,,,,,,,,,,,,جدول 1: الأرقام القياسية لأسعار المستهلك حسب أقسام الإنفاق,
 ( 2023=100 ),,,,,,,,,,,,,,, ( 2023=100 ),
متوسط,,الرقم,الاغذية,,الملابس,السكن والمياه والكهرباء,الأثاث والأجهزة المنزلية,الصحة,النقل ,المعلومات,الترفيه والرياضة,خدمات ,المطاعم,التأمين,العناية الشخصية والحماية الاجتماعية,
الفترة,,القياسي,والمشروبات,التبغ,والاحذية, والغاز و أنواع وقود أخرى,والصيانة الدورية للمنزل,,,والاتصالات, والثقافة,التعليم,وخدمات الإقامة,والخدمات المالية, والسلع والخدمات الأخرى,
,,العام,Food ,Tobacco,Clothing  ,"Housing , Water, Electricity, Gas, and other fuels","Furnishings, Household Equipment and Routine Household Maintenance",Health,Transport,Information,"Recreation, Sport and Culture",Education Services,Restaurants and Accommodation Services,Insurance and Financial Services,"Personal Care, Social Protection and Miscellaneous Goods and Services",
Period,,General,and,Toobcco,and,,,,, and ,,Education,Restaurants and Hotels,,,
Average,,Index, beverages,,Footwear,,,,,Communication,,,,,,
,,,,Toobcco,,,,,,,,Education,Restaurants and Hotels,,,
2015-01-31T00:00:00,,87.0245005381817,78.1555923088962,49.3497364375413,113.298910714199,99.5889425841697,89.4954862424698,88.5819596696444,73.8122971778216,91.3345389908868,72.7031329062842,91.783652114486,74.6750741076362,64.4864404751771,88.8154301417098,
2015-02-28T00:00:00,,86.9151675822107,77.8201176914563,49.7647600440398,113.583330461146,99.7981413382614,89.3659646884206,88.5983478657107,73.8370683625539,91.1194105255636,72.3754548703927,91.783652114486,74.453595371975,64.2393894918751,88.3003728880618,
2015-03-31T00:00:00,,87.0480159209438,77.9363882833676,49.6856901316653,113.613288877993,100.011958121325,89.0419819199139,88.6292989115787,73.8886381024403,91.1173413080216,72.2731092153812,91.783652114486,74.525278774837,64.2393894918751,89.0067537648275,
2015-04-30T00:00:00,,87.0740916434707,78.1708212011548,49.9826524186933,113.649766505901,99.8255190060694,89.4139450108689,88.9243393326099,73.8878313794445,90.9774112884821,71.6004532465089,91.783652114486,74.4292480267945,64.2393894918751,89.25648180455,
2015-05-31T00:00:00,,87.2440825201378,78.2611727593789,50.0302995583884,113.829566667788,100.350788829238,89.4988882598191,88.9002879635884,74.0754487317909,90.7542317523895,71.8845588128238,91.783652114486,74.3798695040548,64.2393894918751,89.265669121313,
2015-06-30T00:00:00,,87.3134019236427,78.3043859627045,50.0279318081183,114.287907182152,100.100137551187,89.4483500124178,88.9308610929167,74.1346785461328,90.8685790922771,73.1833465891621,91.783652114486,75.246721158434,64.2393894918751,89.0830516132787,
2015-07-31T00:00:00,,87.3987587139849,78.2601204772921,49.9478942773686,114.635834623811,100.436222147061,89.9129667897579,88.8349362188572,74.2045655880475,90.6696080824305,72.2224874372463,91.783652114486,75.0445412828009,64.8567027953472,89.3265335482759,
2015-08-31T00:00:00,,87.3531286403988,78.1193465933925,50.0140080031957,114.281598937293,100.499106308994,89.9776573984331,88.8197872876809,73.956277643814,90.527604747637,73.0255855552028,91.783652114486,74.933653086091,64.2182617856227,89.4177220416439,
2015-09-30T00:00:00,,87.3947908591411,78.6144704287532,50.0109117217399,114.333918412159,100.181643545459,90.5365789806209,88.8252577907106,73.9134166497393,90.6693943852929,72.6312612651325,91.783652114486,74.7395151350604,64.2182617856227,89.3808142971736,
2015-10-31T00:00:00,,87.560938491584,78.7678858144613,50.021248659125,114.869388067811,100.617535376472,89.9726558137697,89.1318096157698,73.7319561946449,90.6712567793253,72.6531495817508,93.7495836252,74.9979495091132,64.2182617856227,89.4670627105962,
2015-11-30T00:00:00,,87.6796415439437,78.0230972639333,50.0133714444579,114.96019750546,101.52753644443,90.3668673208841,89.0868026026748,73.711335188004,90.3502657351158,73.3470871304176,93.7495836252,75.5564236770521,64.2182617856227,89.5152300001215,
2015-12-31T00:00:00,,87.7065570523648,78.2190406263838,49.6751562953127,114.752601696371,101.817488245607,90.4060463485023,89.0533004894841,73.5735956823765,90.1696754452982,73.2548732634338,93.7495836252,75.0557595297993,64.2182617856227,89.5342548847098,
2016-01-31T00:00:00,,89.8591497534277,78.1258862225659,49.9200708832638,114.925145847659,108.176884063013,90.4603521636343,89.4820055776462,78.5304643378518,90.1986652998862,71.8183771053471,93.7495836252,74.8901261270303,65.1144747835036,90.1237064140743,
2016-02-29T00:00:00,,89.959437235891,77.7119429734688,50.0642932634928,115.031001260785,109.147154987381,90.7632890529314,89.4860826469668,78.4902000175756,90.2734306929757,71.5093581315791,93.7495836252,74.5809778171425,64.197149014095,90.1345188653964,
2016-03-31T00:00:00,,89.9701626464581,77.2670709069988,57.2975716882045,114.41454345716,109.088220673683,90.8687948637322,89.5773030023076,78.6270701025493,90.4433130143431,71.7754506809379,93.7495836252,74.6134706940946,64.197149014095,90.2747537523189,
2016-04-30T00:00:00,,90.0527955010627,77.4082406862935,57.7723873896123,114.706571161436,109.454875328006,90.852971194732,90.394112961251,78.2392825490438,90.5324588547319,71.2454618021961,93.7495836252,74.6445712821905,64.197149014095,90.4742975498423,
2016-05-31T00:00:00,,89.9587799062551,76.9026470220667,57.7396851769986,114.273607520112,109.595441198425,90.5161120855293,90.4187140936209,78.0671482937321,90.5889189754385,71.9926472376585,93.7495836252,74.8081329679901,64.197149014095,90.5400101983044,
2016-06-30T00:00:00,,89.9447866005492,77.0714491049547,57.7396851769986,115.742991039503,109.735378252053,90.0060271567207,90.3847597227708,77.5485531280107,90.6240906768351,71.2285999391701,93.7495836252,75.0145461530225,64.197149014095,90.5108154346301,
2016-07-31T00:00:00,,90.0552972065885,77.0348942331372,57.7396851769986,115.424191546719,109.62711698855,90.3688822807422,90.3783336761535,78.1327768718084,90.4058509330684,72.2757049717163,93.7495836252,75.3967809544868,64.9786977440226,90.3137143182998,
2016-08-31T00:00:00,,89.8773827006402,76.7372823034007,57.7396851769986,114.670929450215,109.675158784482,90.1527363429299,90.3377743887631,77.7102463768976,90.4952474040076,71.7768574184973,93.7495836252,75.4003962910094,64.1760457045342,90.3172701455079,
2016-09-30T00:00:00,,89.9312627205556,77.1753657071498,57.7313272217022,115.025660007019,109.593562318566,90.8079930108358,90.3524588541872,77.5845678527646,90.2476550680454,71.0257369813306,93.7495836252,74.9317999088426,64.1760457045342,90.4803162342145,
2016-10-31T00:00:00,,89.8412833171643,77.0017319098454,57.6553069212054,114.649123738612,109.371970420336,91.2091320505915,90.3922822089323,77.5335770493407,90.1302214450714,70.9975425177751,93.6403546634741,75.0555622718652,64.1760457045342,90.3929461149597,
2016-11-30T00:00:00,,89.5179652741657,76.5975872497488,57.7364059523252,114.090822523823,108.708641519839,90.5969183055889,90.3566602422613,77.6056627149584,89.8932911115615,70.8292559480586,93.6403546634741,75.1021755505146,64.9210339555879,90.0497837577486,
