نهاية,,البنك الأهلي,بنك الرياض,البنك السعودي,البنك العربي,البنك السعودي,بنك الجزيرة,البنك الأول*,البنك السعودي,مصرف,مجموعة سامبا,,نهاية,,بنك الخليج ,بنك الإمارات ,بنك ,بي إن بي ,بنك الكويت,دويتشه,بنك ,بنك البحرين,بنك جي بي ,مصرف ,بنك باكستان,,نهاية,,بنك زراعات,ستيت بنك,البنك الصناعي,بنك قطر,بنك,بنك ,بنك ,بنك,المصرف,بنك,البنك  ,المجموع,,,,
الفترة,,السعودي**,,الفرنسي,الوطني,الأول*,,,للإستثمار,الراجحي,المالية **,,الفترة,,الدولي ,دبي الوطني,البلاد,باريبا,الوطني,بنك,مسقط,الوطني,مورجان تشيز ان أي,الانماء,الوطني,,الفترة,,بنكازي,أوف إنديا,والتجاري الصيني,الوطني,أبوظبي الأول ,إم يو إف جي,يو بي إس إيه جي,ستاندرد تشارترد,الأهلي العراقي,صحار الدولي,الأهلي المصري,,,,,
End of,,Saudi National,Riyad, Banque Saudi ,Arab,Saudi Awwal, Bank ,Alawwal,The Saudi ,Alrajhi ,Samba,,End of,,Gulf International,Emirates,Bank,BNP Paribas,  National Bank ,Deutsche,Bank,  National Bank ,J.P Morgan ,Alinma ,National Bank ,,End of,,T. C. Ziraat,State Bank,ICBC,Qatar National,First Abu Dhabi,المحدودة,UBS AG,Standard ,National Bank ,Sohar ,National Bank,Total,,,,
Period,,Bank**,  Bank,Fransi,National Bank,Bank*,AlJazira,Bank*,Investment Bank,Bank,Financial Group **,,Period,,Bank ,NBD, Albilad ,,of Kuwait,Bank, Muscat ,of Bahrain,Chase N.A Bank,Bank,of Pakistan,,Period,,Bankasi A. S.,of India,,Bank,Bank,MUFG,Bank,Chartered Bank,of Iraq,International Bank,of Egypt,,,,,
2005-02-28T00:00:00,,247,196,62,117,68,17,38,16,394,65,,2005-02-28T00:00:00,,1,1,         ---       ,         ---       ,         ---       , ---, ---, ---,---,---,---,,2005-02-28T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1222,,,,
2005-03-31T00:00:00,,247,197,62,117,68,17,38,17,394,65,,2005-03-31T00:00:00,,1,1,         ---       ,         ---       ,         ---       , ---, ---, ---,---,---,---,,2005-03-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1224,,,,
2005-04-30T00:00:00,,247,197,62,117,68,17,38,17,394,65,,2005-04-30T00:00:00,,1,1,         ---       ,         ---       ,         ---       , ---, ---, ---,---,---,---,,2005-04-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1224,,,,
2005-05-31T00:00:00,,247,197,62,117,68,17,38,17,394,65,,2005-05-31T00:00:00,,1,1,         ---       ,         ---       ,         ---       , ---, ---, ---,---,---,---,,2005-05-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1224,,,,
2005-06-30T00:00:00,,247,197,62,117,68,17,38,17,394,65,,2005-06-30T00:00:00,,1,1,         ---       ,         ---       ,         ---       , ---, ---, ---,---,---,---,,2005-06-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1224,,,,
2005-07-31T00:00:00,,247,198,62,117,68,17,38,17,397,65,,2005-07-31T00:00:00,,1,1,10,         ---       ,         ---       , ---, ---, ---,---,---,---,,2005-07-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1238,,,,
2005-08-31T00:00:00,,247,198,62,117,68,18,38,17,397,65,,2005-08-31T00:00:00,,1,1,10,         ---       ,         ---       , ---, ---, ---,---,---,---,,2005-08-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1239,,,,
2005-09-30T00:00:00,,248,198,62,117,68,18,38,17,397,65,,2005-09-30T00:00:00,,1,1,10,         ---       ,         ---       , ---, ---, ---,---,---,---,,2005-09-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1240,,,,
2005-10-31T00:00:00,,248,198,62,117,68,18,38,17,397,65,,2005-10-31T00:00:00,,1,1,10,1, ---, ---, ---, ---,---,---,---,,2005-10-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1241,,,,
2005-11-30T00:00:00,,241,195,61,116,60,20,40,16,385,62,,2005-11-30T00:00:00,,2,1,12,1, ---, ---, ---, ---,---,---,---,,2005-11-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1212,,,,
2005-12-31T00:00:00,,243,195,61,116,60,21,40,16,385,62,,2005-12-31T00:00:00,,2,1,21,1, ---, ---, ---, ---,---,---,---,,2005-12-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1224,,,,
2006-01-31T00:00:00,,245,198,61,116,60,21,40,16,385,62,,2006-01-31T00:00:00,,2,1,25,1,---,---,,---,---,---,---,,2006-01-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1233,,,,
2006-02-28T00:00:00,,245,198,61,116,60,21,40,16,385,62,,2006-02-28T00:00:00,,2,1,25,1,---,---,---,---,---,---,---,,2006-02-28T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1233,,,,
2006-03-31T00:00:00,,245,198,61,116,60,22,40,16,385,62,,2006-03-31T00:00:00,,2,1,27,1,---,---,---,---,---,---,---,,2006-03-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1236,,,,
2006-04-30T00:00:00,,247,198,62,116,60,23,40,16,385,63,,2006-04-30T00:00:00,,2,1,30,1,1,1,---,---,---,---,---,,2006-04-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1246,,,,
2006-05-31T00:00:00,,247,198,62,116,61,23,40,20,386,63,,2006-05-31T00:00:00,,2,1,30,1,1,1,---,---,---,---,---,,2006-05-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1252,,,,
2006-06-30T00:00:00,,247,198,62,116,61,23,41,21,387,63,,2006-06-30T00:00:00,,2,1,31,1,1,1,---,---,---,---,---,,2006-06-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1256,,,,
2006-07-31T00:00:00,,247,198,62,116,61,23,41,21,387,63,,2006-07-31T00:00:00,,2,1,36,1,1,1,---,---,---,---,---,,2006-07-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1261,,,,
2006-08-31T00:00:00,,247,198,64,116,61,23,41,21,388,63,,2006-08-31T00:00:00,,2,1,37,1,1,1,---,---,---,---,---,,2006-08-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1265,,,,
2006-09-30T00:00:00,,247,198,64,116,61,23,41,22,388,63,,2006-09-30T00:00:00,,2,1,38,1,1,1,---,---,---,---,---,,2006-09-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1267,,,,
2006-10-31T00:00:00,,247,198,64,116,61,23,41,22,389,63,,2006-10-31T00:00:00,,2,1,38,1,1,1,---,---,---,---,---,,2006-10-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1268,,,,
2006-11-30T00:00:00,,260,198,64,116,61,23,41,23,390,63,,2006-11-30T00:00:00,,2,1,40,1,1,1,---,---,---,---,---,,2006-11-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1285,,,,
2006-12-31T00:00:00,,260,198,68,116,61,23,41,23,390,63,,2006-12-31T00:00:00,,2,1,40,1,1,1,---,---,---,---,---,,2006-12-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1289,,,,
