,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,
Table 28d: SADAD System Payments Value by Sectors,,,,,,,,,جدول 28d: مبــــالغ مـدفوعات نظام سداد حسب القـطاعـــــات
(Thousand ﷼),,,,,,,,, (ألف ﷼)
الفترة,,المال والتأمين وخدمات الاعمال,خدمات التعــــليم,الخدمات الحكومية,التقنية والاعلام والترفيه,الاتصالات وخدمات المرافق,خدمات النقل,أخرى,المجموع
,,,,,,,,,
Period,,"Financial, Insurance",Education Services,Government,"Technology, Media",Telecom ,Transportation,Other,Total
,,and Business Services ,,Services,and Entertainment,and  Utilities,Services,,
2017-09-30T00:00:00,,1675430.299,103072.545,10599740.315,2085.21,4881097.819,362994.118,6308.495,17630728.801
2017-10-31T00:00:00,,2305720.321,212609.954,13934742.634,2940.814,7399673.677,430923.361,7544.923,24294155.684
2017-11-30T00:00:00,,1858646.089,88488.608,14032535.357,11726.566,6517386.363,374482.36,49094.27,22932359.613
2017-12-31T00:00:00,,1995058.243,63132.428,15204809.141,3837.639,5912981.814,410846.466,6940.627,23597606.358
2018-01-31T00:00:00,,1973192.855,130271.495,15855315.665,2899.24,5277850.902,452410.214,5758.288,23697698.659
2018-02-28T00:00:00,,1741869.177,147370.74,16198063.634,4590.369,4622702.825,360833.817,5718.773,23081149.335
2018-03-31T00:00:00,,2039035.277,83426.214,19688735.335,5901.916,6094228.456,442408.493,9228.993,28362964.684
2018-04-30T00:00:00,,2117083.494,61226.418,29742158.357,4493.5,5748462.995,492893.161,6027.667,38172345.592
2018-05-31T00:00:00,,2223811.306,39945.11,28136831.095,5794.233,6042445.569,550271.951,8921.765,37008021.029
2018-06-30T00:00:00,,1738893.512,22009.997,15719552.462,2576.054,4508742.282,456137.83,5559.059,22453471.196
2018-07-31T00:00:00,,2428507.64,61348.906,29881549.684,3176.031,7222513.868,635294.963,5486.753,40237877.845
2018-08-31T00:00:00,,2103427.684,78929.312,17485285.449,2623.536,5186042.539,482089.39,7103.351,25345501.261
2018-09-30T00:00:00,,2247670.165,193863.209,19858742.081,3911.871,6992347.366,413001.832,11203.609,29720740.133
2018-10-31T00:00:00,,2392789.782,153250.881,23799153.405,11773.991,7533910.532,373675.025,6701.616,34271255.232
2018-11-30T00:00:00,,2036823.043,47760.023,19487687.276,9561.434,7042247.015,359541.619,46410.14,29030030.55
2018-12-31T00:00:00,,2345224.304,37533.028,25010471.061,13101.887,8612048.665,466102.801,6469.383,36490951.129
2019-01-31T00:00:00,,2315206.773,181081.033,29405357.353,12093.098,7076425.034,398138.33,11900.093,39400201.714
