,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 1: Gross Written Premiums by Line of Business,,,,,,,,,,,,,جدول 1: إجمالي أقساط التأمين المكتتب بها حسب نوع النشاط
 (Thousand ﷼),,,,,,,,,,,,,(ألف ﷼)
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
Q2,2011,36810.495257551614,191626,339718.3633216404,154152.56149179093,286354.7465715949,118871.86348501469,964827.5923831001,28260.266144342502,2120621.8886550353,187869.3601,2197848.116908706,4506339.365663741
Q3,2011,7484.812056040013,40536,160016.04197206147,140481.67156064432,285178.991965167,99534.16564165187,833272.2121239586,32173.989939136467,1598677.8852586597,155398.61615000002,2541824.6760959607,4295901.1775046205
Q4,2011,164072.82,64752,212617.02932,150004.27644,173955.48844000002,117367.24123,881119.6002999987,21388.023250000027,1785276.4789799987,151390.94,2248295.0316500026,4184962.4506300013
Q1,2012,11686.262,37671,287992.99942,212976.8819,429656.35993999994,171806.19628,1450808.16856,45369.22606,2647967.0941599994,164145.46884,2969278.393270001,5781390.95627
Q2,2012,71054.01699999999,191865,296623.31214,169554.45083000002,272434.48459,143938.193506,1111698.5780229943,31879.703510000003,2289047.7395989946,173357.32997999998,2537701.2121379995,5000106.281716994
Q3,2012,-9906.9,110877,222063.70314,151925.18383,301953.41719,132113.34187000006,1000359.3807130065,31624.882229999952,1941010.0089730064,172457.26266,2976206.7384199984,5089674.010053005
Q4,2012,55193.306,44216,271278.53283000004,163584.61912000002,342596.60685,112985.482444,1211294.8074,19334.07520000003,2220483.429844,162738.39713,2996909.8556440054,5380131.682618005
Q1,2013,7105.673,31159,289689.98279000004,235634.02307,682057.6047,215637.69718000002,2094109.70181,74567.88185,3629961.5644,159316.20269,3040994.613008,6830272.380098
Q2,2013,48098.308000000005,219506,216662.26731,174482.22413,381768.9287500001,150136.746416,1314459.6990900233,34101.46362999997,2539215.6373260235,151709.22011,3202755.5639010016,5893680.421337025
Q3,2013,12257.062000000002,128714,247901.65818,187406.89846000003,343162.62142999994,150420.73512400003,1558888.815120023,37648.20952000005,2666399.999834023,153294.15222,3629677.5253269756,6449371.677380999
