,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,
Table 26a: Bank Clearings,,,,,,,جدول 26a:  المقاصة المصرفية
,,,,,,,
,,(شيكات أفراد وشركات ),,,(شيكات بين المصارف ),,
الفترة,, (Commercial and Personal Cheques),,, (Inter Bank Cheques),,
,,عدد الشيكات, القيمة ,متوسط قيمة الشيك,عدد الشيكات, القيمة ,متوسط قيمة الشيك
Period,,No. of Cheques,Total Value,Average Value ,No. of Cheques,Total Value,Average Value 
,,(Thousands    آلاف ),(Million SAR   مليون ريال),per Cheque,(Thousands    آلاف ),(Million SAR   مليون ريال),per Cheque
1990,,1888.464,228369,120928.43707902296,---,---,---
2002-02-28T00:00:00,,407.27,17632.26,43293.78544945613,76.08,7718.82,101456.62460567823
2002-03-31T00:00:00,,542.21,24877.83,45882.27808413714,124.37,12769.8,102675.8864677977
2002-04-30T00:00:00,,578.55,26444.61,45708.42623800882,115.89,12102.86,104434.03227198207
2002-05-31T00:00:00,,583.88,27934,47842.022333356166,110.81,11989.28,108196.73314682792
2002-06-30T00:00:00,,558.35,26693,47806.93113638399,103.57,12609.52,121748.76894853724
2002-07-31T00:00:00,,548.01,28401,51825.69661137571,110.6,11836.39,107019.80108499096
2002-08-31T00:00:00,,480.08,23445,48835.610731544744,101.05,9162.77,90675.60613557645
2002-09-30T00:00:00,,532,24992,46977.44360902256,102.71,9185.75,89433.84285853374
2002-10-31T00:00:00,,591.89,27784,46941.15460643025,110.83,11909.05,107453.30686637192
2002-11-30T00:00:00,,528.8,26849,50773.44931921332,93.757,11256.67,120062.18202374222
2002-12-31T00:00:00,,503.73,28210,56002.223413336505,85.66,8809.48,102842.40018678496
2003-01-31T00:00:00,,542.442,27225,50189.69770039931,104.821,16065.192,153263.10567538947
2003-02-28T00:00:00,,391.22,19281,49284.290169214255,77.254,7372.731,95434.9418800321
2003-03-31T00:00:00,,583.898,29822,51073.98895012485,120.274,13288.706,110486.93815787285
2003-04-30T00:00:00,,572.82,28117,49085.22747110785,107.354,10212.629,95130.4003576951
