,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 3: Money Supply,,,,,,,,جدول 3: عــــــرض الـنـقـــــــود 
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,النقد المتداول,الودائع,عرض النقود,الودائع الزمنية,عرض النقود,الودائع الأخرى,عرض النقود
,,خارج المصارف, تحت الطلب,  ن 1     ,والإدخارية,  ن 2     ,*شبه النقدية,  ن 3     
,,Currency,Demand ,Money Supply,Time & Savings,Money Supply,Other Quasi-,Money Supply
End of Period,,Outside Banks,Deposits,M1,Deposits,M2,Money Deposits*,M3
,,1,2, 3=1+2,4,5 = 3 + 4,6,7 = 5 + 6
Q2,1999,44443.769,101621.68,146065.449,81892.308,227957.75699999998,56573.077,284530.834
Q3,1999,41746.691,101569.875,143316.566,82624.614,225941.18,57270.646,283211.826
Q4,1999,55060.284999999996,101604.895,156665.18,85341.415,242006.59499999997,63439.317,305445.91199999995
Q1,2000,47690.352000000006,112228.023,159918.375,84492.34,244410.715,59505.585,303916.3
Q2,2000,48298.585,114385.693,162684.278,87736.572,250420.84999999998,60123.395,310544.245
Q3,2000,46125.869000000006,112622.136,158748.005,87691.955,246439.96000000002,62002.254,308442.21400000004
Q4,2000,51019.457,114480.931,165500.388,90832.006,256332.394,62656.915,318989.309
Q1,2001,50095.584,122472.026,172567.61,92627.342,265194.952,60280.428,325475.38
Q2,2001,49272.039,128499.999,177772.038,87349.837,265121.875,65311.32,330433.195
Q3,2001,46528.598,126528.21,173056.80800000002,87923.045,260979.853,66354.342,327334.195
Q4,2001,49203.422999999995,130192.471,179395.894,91684.591,271080.485,68902.386,339982.871
Q1,2002,49154.153000000006,138295.232,187449.385,91195.462,278644.847,68831.692,347476.539
Q2,2002,49257.453,143514.352,192771.80500000002,88127.743,280899.548,69573.575,350473.123
Q3,2002,46996.861,146193.767,193190.628,91472.29,284662.918,76257.034,360919.952
Q4,2002,52329.208999999995,150009.862,202339.071,108028.195,310367.266,79841.297,390208.563
Q1,2003,55544.399000000005,156587.343,212131.742,106823.197,318954.939,79922.63,398877.569
Q2,2003,54889.519,162903.869,217793.388,104984.349,322777.737,80877.452,403655.189
Q3,2003,52233.157,161965.869,214199.026,106422.194,320621.22000000003,81749.121,402370.341
Q4,2003,55444.657999999996,167577.202,223021.86,113381.881,336403.741,80703.041,417106.782
Q1,2004,56701.482,182165.55,238867.032,111554.355,350421.387,84871.682,435293.069
Q2,2004,57072.653999999995,185576.957,242649.61099999998,115238.608,357888.219,90001.975,447890.194
Q3,2004,56038.276000000005,187349.429,243387.70500000002,126068.248,369455.95300000004,87226.655,456682.608
Q4,2004,60133.143000000004,211170.238,271303.381,136672.88,407976.261,87691.664,495667.925
Q1,2005,58743.87299999999,217667.308,276411.181,142386.186,418797.36699999997,93172.008,511969.375
Q2,2005,60156.39699999999,215973.956,276130.353,156873.643,433003.99600000004,97628.619,530632.615
Q3,2005,59591.729999999996,213561.856,273153.586,160908.929,434062.515,101347.708,535410.223
Q4,2005,64288.038,219251.036,283539.074,165266.397,448805.471,104542.462,553347.933
Q1,2006,61031.89600000001,229288.842,290320.738,190142.288,480463.026,105070.665,585533.691
Q2,2006,63512.05099999999,237337.733,300849.784,190592.943,491442.72699999996,107359.815,598802.5419999999
Q3,2006,62071.74200000001,231575.05,293646.792,212027.304,505674.096,117479.409,623153.505
Q4,2006,69324.101,243417.691,312741.792,226026.745,538768.537,121499.516,660268.0530000001
Q1,2007,65067.91400000001,257599.536,322667.45,238989.475,561656.925,115764.157,677421.082
Q2,2007,67010.43999999999,266103.992,333114.43200000003,254543.117,587657.549,121646.738,709304.287
Q3,2007,69103.571,284810.316,353913.887,264471.612,618385.4990000001,125748.121,744133.6200000001
Q4,2007,72191.67300000001,311365.062,383556.735,283059.125,666615.86,123139.628,789755.488
Q1,2008,72398.341,339307.701,411706.042,294132.628,705838.67,128201.943,834040.613
Q2,2008,77597.312,351553.161,429150.473,282775.481,711925.954,148770.566,860696.52
Q3,2008,84326.015,333583.282,417909.297,326502.052,744411.349,144041.364,888452.713
Q4,2008,83006.39199999999,342487.682,425494.07399999996,367623.877,793117.9509999999,136006.62,929124.5709999999
Q1,2009,82860.384,376934.74,459795.124,356403.372,816198.496,149402.193,965600.689
Q2,2009,85458.739,390595.371,476054.11,348148.887,824202.997,177700.061,1001903.058
Q3,2009,88568.808,404110.359,492679.167,330633.562,823312.729,176612.482,999925.211
Q4,2009,88395.351,433162.212,521557.56299999997,323377.029,844934.592,184009.189,1028943.781
Q1,2010,89822.43005877998,452188.017,542010.44705878,313706.757,855717.20405878,154793.458,1010510.66205878
Q2,2010,92422.55834878,484505.481,576928.0393487801,304047.311,880975.35034878,154606.536,1035581.88634878
Q3,2010,95465.63755183,495813.693,591279.33055183,298173.741,889453.07155183,161482.936,1050936.00755183
Q4,2010,95519.84768499,530072.227,625592.07468499,298282.546,923874.62068499,156495.171,1080369.79168499
Q1,2011,106228.08105395001,583031.552,689259.63305395,304660.711,993920.34405395,168067.648,1161987.99205395
Q2,2011,116849.97777308001,604970.803,721820.78077308,307014.674,1028835.45477308,159467.777,1188303.2317730798
Q3,2011,120705.09973213999,612790.84,733495.9397321399,299995.026,1033490.96573214,166612.51,1200103.47573214
Q4,2011,119901.52640616,642093.67,761995.19640616,316400.646,1078395.84240616,161149.603,1239545.4454061599
Q1,2012,122692.86451341,678561.795,801254.6595134101,319556.021,1120810.6805134101,170088.435,1290899.1155134102
Q2,2012,125605.75844218,687117.961,812723.71944218,318544.663,1131268.38244218,170178.301,1301446.68344218
Q3,2012,130143.21903666,698201.767,828344.98603666,300923.005,1129267.99103666,197553.673,1326821.66403666
Q4,2012,133120.72828841,756555.345,889676.07328841,329679.868,1219355.94128841,188717.559,1408073.50028841
Q1,2013,135305.73502887,808247.642,943553.3770288699,317928.912,1261482.28902887,178863.262,1440345.55102887
Q2,2013,138842.91246035,825888.203,964731.11546035,325796.545,1290527.6604603499,189017.723,1479545.3834603499
Q3,2013,139043.20607018,827253.259,966296.4650701799,330677.602,1296974.0670701799,198533.05,1495507.11707018
Q4,2013,143140.03717765,860270.196,1003410.23317765,350266.485,1353676.7181776501,207393.726,1561070.4441776501
Q1,2014,146656.71354123,917833.857,1064490.57054123,351479.77,1415970.34054123,218799.51,1634769.85054123
Q2,2014,151494.47654171,941006.028,1092500.50454171,365485.459,1457985.96354171,203460.84,1661446.8035417101
Q3,2014,158033.85283291,942800.619,1100834.4718329099,406374.752,1507209.22383291,190959.491,1698168.7148329099
Q4,2014,153750.14311176,991384.41,1145134.55311176,403419.45,1548554.00311176,193335.18,1741889.1831117598
Q1,2015,166589.37775913,1053229.895,1219819.27275913,391880.197,1611699.46975913,187659.107,1799358.57675913
Q2,2015,174016.5636936,1085079.376,1259095.9396936,377944.324,1637040.2636936,193908.667,1830948.9306935999
