,,,,,,,
القائمة الرئيسية   Main List,,,,,,, الأرقام القياسية للأسعار       Price Indices
,,,,,,,
Table 2: Wholesale Price Indices by Principal Groups,,,,,,,جدول 2: الأرقام القياسية لأسعار الجملة حسب الأبواب الرئيسة
 ( 2014=100 ),,,,,,, ( 2014=100 )
متوسط,,الرقم القياسي,منتجات الزراعة,الخامات والمعـــــادن,المنتجات الغذائية والمشروبات ,سلع أخرى قابلة للنقل فيما عدا,المنتجات المعدنية
 الفترة ,,العــام,وصيد الأسماك ,,والتبغ والمنسوجات,المنتجات المعدنية والآلات والمعدات ,والآلات والمعدات
Period,,General ,Agriculture and fishery products,Ores and Minerals ,"Food products,beverages and tobacco and textiles","Other transportable goods,except metal products,machinery and equipment","Metal products, machinery and equipment"
Average,,Index,,,,,
2025-06-30T00:00:00,,157.200343943,146.101172829,111.4298206,136.789446878,196.991816511,135.405388063
2025-07-31T00:00:00,,156.984000495,145.69886599,111.499964825,136.855841873,196.227374259,135.567652775
2025-08-31T00:00:00,,157.267004865,145.488077999,111.149311929,136.768559693,196.920115994,135.781283372
2025-09-30T00:00:00,,157.802961513,145.670752557,111.178333014,136.791632175,198.274519347,135.930344041
2025-10-31T00:00:00,,158.608318876,146.147707545,111.206433699,136.790823539,199.855209166,136.511827267
2025-11-30T00:00:00,,158.123977502,145.556394734,111.012777049,136.96466405,198.271287633,136.693519718
2025-12-31T00:00:00,,159.629462067,147.752521869,111.037530788,136.990799874,201.86848811,136.938509716
2026-01-31T00:00:00,,161.992101293,148.492281823,110.998616473,137.295392406,208.737621921,136.760838187
2026-02-28T00:00:00,,162.0747348,148.364489672,110.933552571,137.356744333,208.832191909,136.890746762
,,,,,,,
,,,,,,,
Source:  General Authority for Statistics.,,,,,,,المصدر : الهيئة العامة للإحصاء.
