السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الصالحية,فيلا,48,70593108.1,19699.01,3679.68650032904,4545.45,2918.77
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,البساتين,فيلا,5,28785499.95,2968.63,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الروضة,فيلا,1,6000000,480,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الرحاب,فيلا,5,24631588,4875.39,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الثغر,فيلا,1,1250000,363,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الخالدية,فيلا,7,21650000,2815.5,7209.24390856569,7777.78,6734.01
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الأمواج,فيلا,4,8000000,1272.75,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,المروة,فيلا,5,2262452.36,1625.2,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الوفاء,فيلا,12,12255300,3689.12,3167.16835344031,3771,2638.14
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,العزيزية,فيلا,9,21556133,2965.4896,6369.38901759281,7185.25,5831.79
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الزمرد,فيلا,49,63506300.75,17999.26,3273.5765409774,5280,1795.56
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الشاطئ,فيلا,10,634421020,29237.427,13143.7928408225,16816.82,12600
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الجامعة,فيلا,1,693831,218.63,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,السلامة,فيلا,1,450000,352.76,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الحمدانية,فيلا,36,53217454.72,14345.16,3462.82119603241,4814.14,2807.82
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الخمرة,فيلا,2,2160000,736.3,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الساحل,فيلا,2,1749821.32,874.9,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,مشرفة,فيلا,1,1700000,436.95,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الفيصلية,فيلا,11,30900000,5424.74,6378.42412475575,8020.83,5428.88
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الصفا,فيلا,1,1100000,423.93,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الفروسية,فيلا,21,22553723.55,7048.39,3198.94956122819,4033.59,2666.67
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الكندرة,فيلا,1,4218697.6,1502,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الفضيلة,فيلا,20,21993177,5531.44,4068.8,4571.43,3333.33
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,النزلة اليمانية,فيلا,1,1504800,627,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,البحيرات,فيلا,7,4453442,1708.66,2606.39448456685,3112.11,2240.67
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الرحمانية,فيلا,160,180677473,48768.67,3676.79488650553,4333.33,3238.1
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الروابي,فيلا,1,1050000,355.79,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الريان,فيلا,2,7950000,1437.05,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,النخيل,فيلا,1,4800000,600,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,النعيم,فيلا,5,32650000,4563.87,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الكوثر,فيلا,4,7005000,2076.87,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,اللؤلؤ,فيلا,13,19304833,3151.82,6763.58632751215,7750,6000
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,المرجان,فيلا,1,8000000,1182.05,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,المحمدية,فيلا,1,2000000,417.71,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,السنابل,فيلا,1,2200000,562.5,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,العدل,فيلا,3,4060000,1260.43,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,العكيشية,فيلا,1,1000000,500.66,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,القرينية,فيلا,47,55436124.13,17670.63,2973.48856788837,3642.5,2555.56
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الفلاح,فيلا,36,51446318.81,13621.14,3718.81177924072,4500,3111.11
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الزاهر,فيلا,2,990000,282.15,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,النزهة,فيلا,5,6008359.95,1497.53,NULL,NULL,NULL
